Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Awan, U., Sroufe, R., Kraslawski, A.","55849496400;57208575425;7003512199;","Creativity enables sustainable development: Supplier engagement as a boundary condition for the positive effect on green innovation",2019,"Journal of Cleaner Production","226",,,"172","185",,4,"10.1016/j.jclepro.2019.03.308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064459582&doi=10.1016%2fj.jclepro.2019.03.308&partnerID=40&md5=c6302e1f58cb90170d8782838099785a",Article,"Final",,Scopus,2-s2.0-85064459582
"Ogink, T., Dong, J.Q.","57195981443;57059656500;","Stimulating innovation by user feedback on social media: The case of an online user innovation community",2019,"Technological Forecasting and Social Change","144",,,"295","302",,4,"10.1016/j.techfore.2017.07.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030681304&doi=10.1016%2fj.techfore.2017.07.029&partnerID=40&md5=8f77e2c589c9fea019bd4a391584f958",Article,"Final",,Scopus,2-s2.0-85030681304
"Li, M.","55101854100;","Diversity of Board Interlocks and the Impact on Technological Exploration: A Longitudinal Study",2019,"Journal of Product Innovation Management","36","4",,"490","512",,,"10.1111/jpim.12488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062483656&doi=10.1111%2fjpim.12488&partnerID=40&md5=9c8f8e86771fc02a8e136f54ca5328ad",Article,"Final",,Scopus,2-s2.0-85062483656
"Aarstad, J., Kvitastein, O.A., Jakobsen, S.-E.","57153912100;6508284480;7004003992;","WHAT DRIVES ENTERPRISE PRODUCT INNOVATION? ASSESSING HOW REGIONAL, NATIONAL, and INTERNATIONAL INTER-FIRM COLLABORATION COMPLEMENT or SUBSTITUTE for R&amp;D INVESTMENTS",2019,"International Journal of Innovation Management","23","5", 1950040,"","",,,"10.1142/S1363919619500403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052987479&doi=10.1142%2fS1363919619500403&partnerID=40&md5=a010fa1333abf3d4e8a249fca707a9db",Article,"Final",,Scopus,2-s2.0-85052987479
"Zhang, J., Yan, Y., Guan, J.","56191374800;56430215000;56284417700;","Recombinant distance, network governance and recombinant innovation",2019,"Technological Forecasting and Social Change","143",,,"260","272",,,"10.1016/j.techfore.2019.01.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061996985&doi=10.1016%2fj.techfore.2019.01.022&partnerID=40&md5=cde9b4eb06a021547403705f17a77014",Article,"Final",,Scopus,2-s2.0-85061996985
"Skute, I., Zalewska-Kurek, K., Hatak, I., de Weerd-Nederhof, P.","57196458298;36553484700;55332872800;6506740175;","Mapping the field: a bibliometric analysis of the literature on university–industry collaborations",2019,"Journal of Technology Transfer","44","3",,"916","947",,4,"10.1007/s10961-017-9637-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033397399&doi=10.1007%2fs10961-017-9637-1&partnerID=40&md5=d14069bc43753f4e7c4f8777e65fdc71",Article,"Final",Open Access,Scopus,2-s2.0-85033397399
"Tivasuradej, Y.C.T., Pham, N.","57206727308;57206720759;","Advancing customer experience practice and strategy in Thailand",2019,"Asia Pacific Journal of Marketing and Logistics","31","2",,"327","343",,2,"10.1108/APJML-09-2017-0220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061907687&doi=10.1108%2fAPJML-09-2017-0220&partnerID=40&md5=7600a1f3e0aa2cee5bb22d8a156c25c8",Article,"Final",,Scopus,2-s2.0-85061907687
"Eisenman, M., Paruchuri, S.","25627235200;8626446700;","Inventor knowledge recombination behaviors in a pharmaceutical merger: The role of intra-firm networks",2019,"Long Range Planning","52","2",,"189","201",,1,"10.1016/j.lrp.2018.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044999966&doi=10.1016%2fj.lrp.2018.03.005&partnerID=40&md5=2c5413afa743e4251f97719700602c3b",Article,"Final",,Scopus,2-s2.0-85044999966
"Dong, J.Q., McCarthy, K.J.","57059656500;36083292000;","When more isn't merrier: pharmaceutical alliance networks and breakthrough innovation",2019,"Drug Discovery Today","24","3",,"673","677",,,"10.1016/j.drudis.2019.01.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060333788&doi=10.1016%2fj.drudis.2019.01.002&partnerID=40&md5=0bd6b2905ec4cc460f7b63db50aea371",Short Survey,"Final",Open Access,Scopus,2-s2.0-85060333788
"Ozer, M., Zhang, G.","7004470199;56843775700;","The Roles of Knowledge Providers, Knowledge Recipients, and Knowledge Usage in Bridging Structural Holes",2019,"Journal of Product Innovation Management","36","2",,"224","240",,1,"10.1111/jpim.12478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055743117&doi=10.1111%2fjpim.12478&partnerID=40&md5=90c4a105a47f8354723fc99619c4b367",Article,"Final",,Scopus,2-s2.0-85055743117
