Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Cockcroft, S., Russell, M.","7004811420;56206344900;","Big Data Opportunities for Accounting and Finance Practice and Research",2018,"Australian Accounting Review","28","3",,"323","333",,3,"10.1111/auar.12218","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041562378&doi=10.1111%2fauar.12218&partnerID=40&md5=2c9fb7d47d544a2436ed67d791082dde",Review,"Final",,Scopus,2-s2.0-85041562378
"Alt, R., Beck, R., Smits, M.T.","56267296300;7403182380;7006388289;","FinTech and the transformation of the financial industry",2018,"Electronic Markets","28","3",,"235","243",,7,"10.1007/s12525-018-0310-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052152510&doi=10.1007%2fs12525-018-0310-9&partnerID=40&md5=1610d4ad261b01895c3d0f106030e8c4",Editorial,"Final",Open Access,Scopus,2-s2.0-85052152510
"Demirkan, H., Spohrer, J.C.","8652494600;57203975876;","Emerging service orientations and transformations (SOT)",2016,"Information Systems Frontiers","18","3",,"407","411",,4,"10.1007/s10796-016-9656-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969894847&doi=10.1007%2fs10796-016-9656-8&partnerID=40&md5=58c242425c7db1547a0f91eec512085a",Editorial,"Final",Open Access,Scopus,2-s2.0-84969894847
"Cockcroft, S.","7004811420;","Big data in financial management a structured literature review and opportunities for IS research",2016,"Proceedings of the 27th Australasian Conference on Information Systems, ACIS 2016",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071644436&partnerID=40&md5=6485433fe62e58b82163475d1e157a65",Conference Paper,"Final",,Scopus,2-s2.0-85071644436
