Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Zaheer, H., Breyer, Y., Dumay, J.","57201073988;35172695700;16237803000;","Digital entrepreneurship: An interdisciplinary structured literature review and research agenda",2019,"Technological Forecasting and Social Change","148",, 119735,"","",,,"10.1016/j.techfore.2019.119735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071977984&doi=10.1016%2fj.techfore.2019.119735&partnerID=40&md5=1ab13c388cc4203d0846c93a9140fb6f",Article,"Final",,Scopus,2-s2.0-85071977984
"Santos, S.C., Morris, M.H., Caetano, A., Costa, S.F., Neumeyer, X.","37011729300;7402877541;7003947908;56999773700;55981127100;","Team entrepreneurial competence: multilevel effects on individual cognitive strategies",2019,"International Journal of Entrepreneurial Behaviour and Research","25","6",,"1259","1282",,2,"10.1108/IJEBR-03-2018-0126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064067674&doi=10.1108%2fIJEBR-03-2018-0126&partnerID=40&md5=3dbb8e7c89b2dd8e29a31bbaa2b6411c",Article,"Final",,Scopus,2-s2.0-85064067674
"Lomberg, C., Thiel, J., Steffens, P.","55917499700;56653221900;6602107084;","The hare and the tortoise: The impact of action- versus state-orientation on entrepreneurial progress and persistence",2019,"International Small Business Journal: Researching Entrepreneurship","37","6",,"604","625",,,"10.1177/0266242619836615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064151764&doi=10.1177%2f0266242619836615&partnerID=40&md5=851518a051ca37a8727a964530ac4820",Article,"Final",,Scopus,2-s2.0-85064151764
"Wasowska, A.","56943519600;","Social-cognitive antecedents of new venture internationalization: The role of entrepreneur intention, self-efficacy, and positive orientation",2019,"Baltic Journal of Management","14","3",,"462","479",,,"10.1108/BJM-09-2018-0325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064280174&doi=10.1108%2fBJM-09-2018-0325&partnerID=40&md5=c810dd93cd627040ebcb89c96a446c6d",Article,"Final",,Scopus,2-s2.0-85064280174
"Hmieleski, K.M., Sheppard, L.D.","8678743200;57204300390;","The Yin and Yang of entrepreneurship: Gender differences in the importance of communal and agentic characteristics for entrepreneurs’ subjective well-being and performance",2019,"Journal of Business Venturing","34","4",,"709","730",,2,"10.1016/j.jbusvent.2018.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050360195&doi=10.1016%2fj.jbusvent.2018.06.006&partnerID=40&md5=00533407f5e2998e15414e99279d6256",Article,"Final",Open Access,Scopus,2-s2.0-85050360195
"Hendricks, B., Howell, T., Bingham, C.","57207702899;57195198245;16240764700;","How much do top management teams matter in founder-led firms?",2019,"Strategic Management Journal","40","6",,"959","986",,,"10.1002/smj.3006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062320695&doi=10.1002%2fsmj.3006&partnerID=40&md5=e64160719f4fbcdf592e7c28c4dd0c35",Article,"Final",,Scopus,2-s2.0-85062320695
"Santos, S.C., Cardon, M.S.","37011729300;24280933200;","What’s Love Got to Do With It? Team Entrepreneurial Passion and Performance in New Venture Teams",2019,"Entrepreneurship: Theory and Practice","43","3",,"475","504",,2,"10.1177/1042258718812185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064083375&doi=10.1177%2f1042258718812185&partnerID=40&md5=c33d1f895509efde71dd943cbdca6b5b",Article,"Final",,Scopus,2-s2.0-85064083375
"Dai, Y., Byun, G., Ding, F.","57189490513;57189489633;57189496694;","The Direct and Indirect Impact of Gender Diversity in New Venture Teams on Innovation Performance",2019,"Entrepreneurship: Theory and Practice","43","3",,"505","528",,1,"10.1177/1042258718807696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070360779&doi=10.1177%2f1042258718807696&partnerID=40&md5=78d70bd8898c2a25fea294bdd90ac169",Article,"Final",,Scopus,2-s2.0-85070360779
"Browder, R.E., Aldrich, H.E., Bradley, S.W.","57191144485;7007143873;57201539819;","The emergence of the maker movement: Implications for entrepreneurship research",2019,"Journal of Business Venturing","34","3",,"459","476",,3,"10.1016/j.jbusvent.2019.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061150235&doi=10.1016%2fj.jbusvent.2019.01.005&partnerID=40&md5=e0bfcfd6c5fae426fbf04b1e6fa771ec",Article,"Final",,Scopus,2-s2.0-85061150235
"Zhu, J., Wang, Y., Wang, C.","57184447400;57185184200;57207370433;","A comparative study of the effects of different factors on firm technological innovation performance in different high-tech industries",2019,"Chinese Management Studies","13","1",,"2","25",,1,"10.1108/CMS-10-2017-0287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054563082&doi=10.1108%2fCMS-10-2017-0287&partnerID=40&md5=f65f46250194a266386db599c171f763",Article,"Final",,Scopus,2-s2.0-85054563082
