Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"McKenzie, D., Sansone, D.","7202304945;57188810833;","Predicting entrepreneurial success is hard: Evidence from a business plan competition in Nigeria",2019,"Journal of Development Economics","141",, 102369,"","",,,"10.1016/j.jdeveco.2019.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069973005&doi=10.1016%2fj.jdeveco.2019.07.002&partnerID=40&md5=056f19606ed8308829c8d6226fda84ff",Article,"Final",,Scopus,2-s2.0-85069973005
"Barbi, M., Mattioli, S.","36615036000;57206663532;","Human capital, investor trust, and equity crowdfunding",2019,"Research in International Business and Finance","49",,,"1","12",,,"10.1016/j.ribaf.2019.02.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061806320&doi=10.1016%2fj.ribaf.2019.02.005&partnerID=40&md5=155ce1580966cf96b3a2702e5ac7a0eb",Article,"Final",,Scopus,2-s2.0-85061806320
"Wang, W., Mahmood, A., Sismeiro, C., Vulkan, N.","57205624482;57192927198;6506001650;6603377041;","The evolution of equity crowdfunding: Insights from co-investments of angels and the crowd",2019,"Research Policy","48","8", 103727,"","",,1,"10.1016/j.respol.2019.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060843350&doi=10.1016%2fj.respol.2019.01.003&partnerID=40&md5=cec0435ad52d00891d6020d0ccb83c89",Article,"Final",,Scopus,2-s2.0-85060843350
"Block, J., Fisch, C., Vismara, S., Andres, R.","35204847100;56047865900;22986651000;57209217243;","Private equity investment criteria: An experimental conjoint analysis of venture capital, business angels, and family offices",2019,"Journal of Corporate Finance","58",,,"329","352",,1,"10.1016/j.jcorpfin.2019.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066866197&doi=10.1016%2fj.jcorpfin.2019.05.009&partnerID=40&md5=cd8d4d12fff430f6b6471e80d8716eac",Article,"Final",Open Access,Scopus,2-s2.0-85066866197
"Ghezzi, A.","24831905500;","Digital startups and the adoption and implementation of Lean Startup Approaches: Effectuation, Bricolage and Opportunity Creation in practice",2019,"Technological Forecasting and Social Change","146",,,"945","960",,6,"10.1016/j.techfore.2018.09.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053837879&doi=10.1016%2fj.techfore.2018.09.017&partnerID=40&md5=4824be62dff2265eae2b79463f61a431",Article,"Final",,Scopus,2-s2.0-85053837879
"Cipollone, A., Giordani, P.E.","36196375700;56574462800;","Entrepreneurs meet financiers: Evidence from the business angel market",2019,"Journal of Business Venturing","34","5", 105913,"","",,,"10.1016/j.jbusvent.2018.11.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057628831&doi=10.1016%2fj.jbusvent.2018.11.003&partnerID=40&md5=08a05321981d15c23c72452d966a1310",Article,"Final",,Scopus,2-s2.0-85057628831
"Quinn, S., Woodruff, C.","36158581600;55824909100;","Experiments and Entrepreneurship in Developing Countries",2019,"Annual Review of Economics","11",,,"225","248",,,"10.1146/annurev-economics-080218-030246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071618549&doi=10.1146%2fannurev-economics-080218-030246&partnerID=40&md5=8ec385f34e750aa5d95b86cf52b4bde8",Article,"Final",,Scopus,2-s2.0-85071618549
"Gu, W., Qian, X.","16425482800;57194728199;","Does venture capital foster entrepreneurship in an emerging market?",2019,"Journal of Business Research","101",,,"803","810",,,"10.1016/j.jbusres.2018.12.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058401575&doi=10.1016%2fj.jbusres.2018.12.011&partnerID=40&md5=37f463d60be3758ba1afec9f2900daac",Article,"Final",,Scopus,2-s2.0-85058401575
"Cavallo, A., Ghezzi, A., Dell'Era, C., Pellizzoni, E.","57201683425;24831905500;57210943280;37049360800;","Fostering digital entrepreneurship from startup to scaleup: The role of venture capital funds and angel groups",2019,"Technological Forecasting and Social Change","145",,,"24","35",,,"10.1016/j.techfore.2019.04.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065167365&doi=10.1016%2fj.techfore.2019.04.022&partnerID=40&md5=7667f255d493f0961a919be2cf6b7100",Article,"Final",,Scopus,2-s2.0-85065167365
"de Lange, D.E.","55349207900;","A paradox of embedded agency: Sustainable investors boundary bridging to emerging fields",2019,"Journal of Cleaner Production","226",,,"50","63",,1,"10.1016/j.jclepro.2019.04.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064440573&doi=10.1016%2fj.jclepro.2019.04.007&partnerID=40&md5=9c00b083f0aba20a7ecee2686a93b941",Article,"Final",,Scopus,2-s2.0-85064440573
