Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Wang, L., Luo, X.R., Lee, F.","57204050162;57210291389;57210289708;","Unveiling the interplay between blockchain and loyalty program participation: A qualitative approach based on Bubichain",2019,"International Journal of Information Management","49",,,"397","410",,,"10.1016/j.ijinfomgt.2019.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070221989&doi=10.1016%2fj.ijinfomgt.2019.08.001&partnerID=40&md5=70eb1f528c45240b4ccd538ea4272925",Article,"Final",,Scopus,2-s2.0-85070221989
"Maroufkhani, P., Wagner, R., Wan Ismail, W.K., Baroto, M.B., Nourani, M.","56766005600;35730493300;55671487400;56940724400;57189315827;","Big data analytics and firm performance: A systematic review",2019,"Information (Switzerland)","10","7", 226,"","",,,"10.3390/INFO10070226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069855033&doi=10.3390%2fINFO10070226&partnerID=40&md5=2dd9e011b77aa556113bb9a9b5e9823b",Review,"Final",Open Access,Scopus,2-s2.0-85069855033
"Stoeckli, E., Dremel, C., Uebernickel, F., Brenner, W.","57202369909;57194428268;26424874500;7101783314;","How affordances of chatbots cross the chasm between social and traditional enterprise systems",2019,"Electronic Markets",,,,"","",,,"10.1007/s12525-019-00359-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070306838&doi=10.1007%2fs12525-019-00359-6&partnerID=40&md5=52f53605ee29d06c769f406c31d84fed",Article,"Article in Press",,Scopus,2-s2.0-85070306838
