Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Tortorella, G.L., Cawley Vergara, A.M., Garza-Reyes, J.A., Sawhney, R.","26535178500;57209654904;35310169200;7101896714;","Organizational learning paths based upon industry 4.0 adoption: An empirical study with Brazilian manufacturers",2020,"International Journal of Production Economics","219",,,"284","294",,,"10.1016/j.ijpe.2019.06.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068410126&doi=10.1016%2fj.ijpe.2019.06.023&partnerID=40&md5=009bd47fd284d642d29694b23031c8f5",Article,"Final",,Scopus,2-s2.0-85068410126
"Rajput, S., Singh, S.P.","57203212455;57199578228;","Connecting circular economy and industry 4.0",2019,"International Journal of Information Management","49",,,"98","113",,2,"10.1016/j.ijinfomgt.2019.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063404249&doi=10.1016%2fj.ijinfomgt.2019.03.002&partnerID=40&md5=55609779c68e393c9f1f8934c0e46cf7",Article,"Final",,Scopus,2-s2.0-85063404249
"Tang, C.S., Veelenturf, L.P.","57201538253;36667703700;","The strategic role of logistics in the industry 4.0 era",2019,"Transportation Research Part E: Logistics and Transportation Review","129",,,"1","11",,1,"10.1016/j.tre.2019.06.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068081811&doi=10.1016%2fj.tre.2019.06.004&partnerID=40&md5=1ed9c2671b3281a7282bc58984922d21",Article,"Final",,Scopus,2-s2.0-85068081811
"Munodawafa, R.T., Johl, S.K.","57204393617;55792131200;","Big data analytics capabilities and eco-innovation: A study of energy companies",2019,"Sustainability (Switzerland)","11","15", 4254,"","",,,"10.3390/su11154254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070454802&doi=10.3390%2fsu11154254&partnerID=40&md5=1baa54aeee5976315936412e2bcb1dd3",Article,"Final",Open Access,Scopus,2-s2.0-85070454802
"Craveiro, F., Duarte, J.P., Bartolo, H., Bartolo, P.J.","54962936100;8503535500;54959236900;57189656315;","Additive manufacturing as an enabling technology for digital construction: A perspective on Construction 4.0",2019,"Automation in Construction","103",,,"251","267",,1,"10.1016/j.autcon.2019.03.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063756372&doi=10.1016%2fj.autcon.2019.03.011&partnerID=40&md5=976d9e5900a75ee79d3e54c6defe03ce",Review,"Final",,Scopus,2-s2.0-85063756372
"Tuffnell, C., Kral, P., Siekelova, A., Horak, J.","57210587743;57193930251;57076888000;57205703176;","Cyber-physical smart manufacturing systems: Sustainable industrial networks, cognitive automation, and data-centric business models",2019,"Economics, Management, and Financial Markets","14","2",,"58","63",,,"10.22381/EMFM14220194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071154982&doi=10.22381%2fEMFM14220194&partnerID=40&md5=20e5688bee8a92b80ddb24a4490754e3",Article,"Final",Open Access,Scopus,2-s2.0-85071154982
"Ramadan, M.","57209251032;","Industry 4.0: Development of Smart Sunroof Ambient Light Manufacturing System for Automotive Industry",2019,"2019 Advances in Science and Engineering Technology International Conferences, ASET 2019",,, 8714236,"","",,,"10.1109/ICASET.2019.8714236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067058392&doi=10.1109%2fICASET.2019.8714236&partnerID=40&md5=3e7a78c3a1471852d50cf5fad3f2a259",Conference Paper,"Final",,Scopus,2-s2.0-85067058392
"Frank, A.G., Mendes, G.H.S., Ayala, N.F., Ghezzi, A.","54790849500;56785594200;55599784700;24831905500;","Servitization and Industry 4.0 convergence in the digital transformation of product firms: A business model innovation perspective",2019,"Technological Forecasting and Social Change","141",,,"341","351",,7,"10.1016/j.techfore.2019.01.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060078495&doi=10.1016%2fj.techfore.2019.01.014&partnerID=40&md5=f806691dd8677291c20c953820fec917",Article,"Final",,Scopus,2-s2.0-85060078495
"Türkeş, M.C., Oncioiu, I., Aslam, H.D., Marin-Pantelescu, A., Topor, D.I., Căpuşneanu, S.","57203287741;56045736600;54392430700;33568120700;56955851400;24721054900;","Drivers and barriers in using industry 4.0: A perspective of SMEs in Romania",2019,"Processes","7","3", 153,"","",,2,"10.3390/pr7030153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062906496&doi=10.3390%2fpr7030153&partnerID=40&md5=81961ec9d311cd8e86cd4e0ac9616a2e",Article,"Final",Open Access,Scopus,2-s2.0-85062906496
"Farahani, S., Brown, N., Loftis, J., Krick, C., Pichl, F., Vaculik, R., Pilla, S.","57055424400;57193017683;57210969711;57210969416;57210971453;6603347139;24598149400;","Evaluation of in-mold sensors and machine data towards enhancing product quality and process monitoring via Industry 4.0",2019,"International Journal of Advanced Manufacturing Technology",,,,"","",,,"10.1007/s00170-019-04323-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072063008&doi=10.1007%2fs00170-019-04323-8&partnerID=40&md5=190b0d528bda389a11413fb580fe726f",Article,"Article in Press",,Scopus,2-s2.0-85072063008
