Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Zaheer, H., Breyer, Y., Dumay, J.","57201073988;35172695700;16237803000;","Digital entrepreneurship: An interdisciplinary structured literature review and research agenda",2019,"Technological Forecasting and Social Change","148",, 119735,"","",,,"10.1016/j.techfore.2019.119735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071977984&doi=10.1016%2fj.techfore.2019.119735&partnerID=40&md5=1ab13c388cc4203d0846c93a9140fb6f",Article,"Final",,Scopus,2-s2.0-85071977984
"Cavallo, A., Ghezzi, A., Dell'Era, C., Pellizzoni, E.","57201683425;24831905500;57210943280;37049360800;","Fostering digital entrepreneurship from startup to scaleup: The role of venture capital funds and angel groups",2019,"Technological Forecasting and Social Change","145",,,"24","35",,,"10.1016/j.techfore.2019.04.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065167365&doi=10.1016%2fj.techfore.2019.04.022&partnerID=40&md5=7667f255d493f0961a919be2cf6b7100",Article,"Final",,Scopus,2-s2.0-85065167365
"Davison, R.M.","7101819462;","On serendipity: The happy discovery of unsought knowledge",2019,"Information Systems Journal","29","2",,"275","278",,,"10.1111/isj.12229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055566692&doi=10.1111%2fisj.12229&partnerID=40&md5=13b13ee28245dc2074ea1d6e782f3d9d",Editorial,"Final",,Scopus,2-s2.0-85055566692
"Pournader, M., Shi, Y., Seuring, S., Koh, S.C.L.","53878449000;53664537300;6602271726;57209197832;","Blockchain applications in supply chains, transport and logistics: a systematic review of the literature",2019,"International Journal of Production Research",,,,"","",,,"10.1080/00207543.2019.1650976","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070797485&doi=10.1080%2f00207543.2019.1650976&partnerID=40&md5=896f752e7174b4d9d1a35e1ae60279bb",Article,"Article in Press",,Scopus,2-s2.0-85070797485
