Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Ardolino M., Rapaccini M., Saccani N., Gaiardelli P., Crespi G., Ruggeri C.","56786074900;12760262000;15849430200;6507168158;57194198684;57194184313;","The role of digital technologies for the service transformation of industrial companies",2018,"International Journal of Production Research","56","6",,"2116","2132",,41,"10.1080/00207543.2017.1324224",2-s2.0-85019132767
"Ayala N.F., Paslauski C.A., Ghezzi A., Frank A.G.","55599784700;57190259860;24831905500;54790849500;","Knowledge sharing dynamics in service suppliers' involvement for servitization of manufacturing companies",2017,"International Journal of Production Economics","193",,,"538","553",,16,"10.1016/j.ijpe.2017.08.019",2-s2.0-85028332534
"Ayala N.F., Gerstlberger W., Frank A.G.","55599784700;6507530586;54790849500;","Managing servitization in product companies: the moderating role of service suppliers",2019,"International Journal of Operations and Production Management","39","1",,"43","74",,9,"10.1108/IJOPM-08-2017-0484",2-s2.0-85052378348
"Babiceanu R.F., Seker R.","8411420900;57202927624;","Big Data and virtualization for manufacturing cyber-physical systems: A survey of the current status and future outlook",2016,"Computers in Industry","81",,,"128","137",,149,"10.1016/j.compind.2016.02.004",2-s2.0-84977950760
"Baines T., Ziaee Bigdeli A., Bustinza O.F., Shi V.G., Baldwin J., Ridgway K.","57210328538;56928424400;35791444600;54967863100;7402663205;7006619397;","Servitization: revisiting the state-of-the-art and research priorities",2017,"International Journal of Operations and Production Management","37","2",,"256","278",,110,"10.1108/IJOPM-06-2015-0312",2-s2.0-85009987849
"Belk R.","6602688313;","You are what you can access: Sharing and collaborative consumption online",2014,"Journal of Business Research","67","8",,"1595","1600",,673,"10.1016/j.jbusres.2013.10.001",2-s2.0-84901240428
"Belvedere V., Grando A., Bielli P.","8652385600;15848137900;8655320200;","A quantitative investigation of the role of Information and Communication Technologies in the implementation of a product-service system",2013,"International Journal of Production Research","51","2",,"410","426",,49,"10.1080/00207543.2011.648278",2-s2.0-84871196771
"Bharadwaj A., El Sawy O.A., Pavlou P.A., Venkatraman N.","7004584448;6603245818;6507186334;6701924291;","Digital business strategy: Toward a next generation of insights",2013,"MIS Quarterly: Management Information Systems","37","2",,"471","482",,507,"10.25300/MISQ/2013/37:2.3",2-s2.0-84876819524
"Bogers M., Hadar R., Bilberg A.","36117631500;56381230800;6506266438;","Additive manufacturing for consumer-centric business models: Implications for supply chains in consumer goods manufacturing",2016,"Technological Forecasting and Social Change","102",,,"225","239",,77,"10.1016/j.techfore.2015.07.024",2-s2.0-84949521214
"Brem A., Voigt K.-I.","23984395500;16403637200;","Integration of market pull and technology push in the corporate front end and innovation management-Insights from the German software industry",2009,"Technovation","29","5",,"351","367",,190,"10.1016/j.technovation.2008.06.003",2-s2.0-63349095566
"Brettel M., Friederichsen N., Keller M., Rosenberg M.","","How virtualization, decentralization and network building change the manufacturing landscape: An industry 4.0 perspective",2014,"International Journal of Mechanical, Industrial Science and Engineering","8","1",,"37","44",,419,,2-s2.0-84904464337
"Caputo F., Scuotto V., Carayannis E., Cillo V.","57189995566;55960201200;7006225155;57203360674;","Intertwining the internet of things and consumers’ behaviour science: Future promises for businesses",2018,"Technological Forecasting and Social Change","136",,,"277","284",,3,"10.1016/j.techfore.2018.03.019",2-s2.0-85055635949
"Coreynen W., Matthyssens P., Van Bockhaven W.","57189378793;6603343192;55701230200;","Boosting servitization through digitization: Pathways and dynamic resource configurations for manufacturers",2017,"Industrial Marketing Management","60",,,"42","53",,60,"10.1016/j.indmarman.2016.04.012",2-s2.0-84969960029
