Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Bookstein F.L.","",[No title available],1991,"Morphometric Tools for Landmark Data: Geometry and Biology",,,,"","",,3842,,2-s2.0-0003597817
"Bookstein F.L.","7004606384;","Landmark methods for forms without landmarks: Morphometrics of group differences in outline shape",1997,"Medical Image Analysis","1","3",,"225","243",,913,"10.1016/S1361-8415(97)85012-8",2-s2.0-0031107378
"Bookstein F.L.","7004606384;","Shape and the Information in Medical Images: A Decade of the Morphometric Synthesis",1997,"Computer Vision and Image Understanding","66","2",,"97","118",,183,"10.1006/cviu.1997.0607",2-s2.0-0031139515
"Claude J.","","Morphometrics with R",2008,"Morphometrics with R",,,,"","",,241,,2-s2.0-67349169356
"De Groote I., Lockwood C.A., Aiello L.C.","35791611100;7102516713;7006805529;","Technical note: A new method for measuring long bone curvature using 3D landmarks and semi-landmarks",2010,"American Journal of Physical Anthropology","141","4",,"658","664",,24,"10.1002/ajpa.21225",2-s2.0-77950851616
"Dujardin J.-P., Thi K.P., Xuan L.T., Panzera F., Pita S., Schofield C.J.","7102125030;56999104800;56999091500;6603910639;55337430800;35460630000;","Epidemiological status of kissing-bugs in South East Asia: A preliminary assessment",2015,"Acta Tropica","151","1",,"142","149",,12,"10.1016/j.actatropica.2015.06.022",2-s2.0-84949626851
"Dujardin J.-P., Lam T.X., Khoa P.T., Schofield C.J.","7102125030;56599753300;43761170700;35460630000;","The rising importance of Triatoma rubrofasciata",2015,"Memorias do Instituto Oswaldo Cruz","110","3",,"319","323",,18,"10.1590/0074-02760140446",2-s2.0-84928138492
"Garcia C.","56910095500;","A simple procedure for the comparison of covariance matrices",2012,"BMC Evolutionary Biology","12","1", 222,"","",,13,"10.1186/1471-2148-12-222",2-s2.0-84869225015
"Gunz P., Mitteroecker P.","6506472733;6507135382;","Semilandmarks: A method for quantifying curves and surfaces",2013,"Hystrix","24","1",,"","",,256,"10.4404/hystrix-24.1-6292",2-s2.0-84877942851
"Gunz P., Mitteroecker P., Bookstein F.L.","","Semilandmarks in three dimensions",2005,"Modern Morphometrics in Physical Anthropology",,,,"73","98",,405,,2-s2.0-18944380089
"Hwang W.S., Weirauch C.","35794384600;6506138226;","Evolutionary History of Assassin Bugs (Insecta: Hemiptera: Reduviidae): Insights from Divergence Dating and Ancestral State Reconstruction",2012,"PLoS ONE","7","9", e45523,"","",,84,"10.1371/journal.pone.0045523",2-s2.0-84867025821
"Hypša V., Tietz D.F., Zrzavý J., Rego R.O.M., Galvao C., Jurberg J.","6603035943;6603702220;55880322800;6701586678;7005492950;7004203653;","Phylogeny and biogeography of Triatominae (Hemiptera: Reduviidae): Molecular evidence of a New World origin of the Asiatic clade",2002,"Molecular Phylogenetics and Evolution","23","3",,"447","457",,132,"10.1016/S1055-7903(02)00023-4",2-s2.0-0036019709
"Kaba D., Berté D., Ta B.T.D., Tellería J., Solano P., Dujardin J.-P.","6506151869;57192204544;57192211259;7007018008;55145769000;7102125030;","The wing venation patterns to identify single tsetse flies",2017,"Infection, Genetics and Evolution","47",,,"132","139",,8,"10.1016/j.meegid.2016.10.008",2-s2.0-85000893337
"Kuhl F.P., Giardina C.R.","7003979887;35548158500;","Elliptic Fourier features of a closed contour",1982,"Computer Graphics and Image Processing","18","3",,"236","258",,1074,"10.1016/0146-664X(82)90034-X",2-s2.0-0019999399
"Lohmann G.P.","7005979304;","Eigenshape analysis of microfossils: A general morphometric procedure for describing changes in shape",1983,"Journal of the International Association for Mathematical Geology","15","6",,"659","672",,166,"10.1007/BF01033230",2-s2.0-2942756377
"MacLeod N.","","Landmarks and semilandmarks: Differences without meaning and meaning without difference",2013,"Palaeontological Association Newsletter","82",,,"32","43",,7,,2-s2.0-84910605357
"Mitteroecker P., Gunz P.","6507135382;6506472733;","Advances in Geometric morphometrics",2009,"Evolutionary Biology","36","2",,"235","247",,522,"10.1007/s11692-009-9055-x",2-s2.0-69449097227
"Monnier G.F., McNulty K.P.","15023202000;7004717904;","Questioning the link between stone tool standardization and behavioral modernity",2010,"New Perspectives on Old Stones: Analytical Approaches to Paleolithic Technologies",,,,"61","81",,8,"10.1007/978-1-4419-6861-6_4",2-s2.0-84857114170
"Monteiro F.A., Wesson D.M., Dotson E.M., Schofield C.J., Beard C.B.","7006030716;7103081915;6603906463;35460630000;35492612900;","Phylogeny and molecular taxonomy of the rhodniini derived from mitochondrial and nuclear DNA sequences",2000,"American Journal of Tropical Medicine and Hygiene","62","4",,"460","465",,71,"10.4269/ajtmh.2000.62.460",2-s2.0-0034467318
"Perez S.I., Bernal V., Gonzalez P.N.","13808174600;55930645900;55799217100;","Differences between sliding semi-landmark methods in geometric morphometrics, with an application to human craniofacial and dental variation",2006,"Journal of Anatomy","208","6",,"769","784",,228,"10.1111/j.1469-7580.2006.00576.x",2-s2.0-33744472832
"Reddy D.P., Harvati K., Kim J.","","Alternative approaches to ridge-curve analysis using the example of the Neanderthal occipital bun",2005,"Modern Morphometrics in Physical Anthropology",,,,"99","115",,14,,2-s2.0-33846915052
"Rohlf F.J.","","Rotational fit (Procrustes) methods",1990,"Proceedings of the Michigan Morphometrics Workshop",,,,"227","236",,252,,2-s2.0-0003042557
"Rohlf F.J., Archie J.W.","7003281107;7004475040;","A comparison of fourier methods for the description of wing shape in mosquitoes (Diptera: Culicidae)",1984,"Systematic Zoology","33","3",,"302","317",,369,"10.2307/2413076",2-s2.0-85008745234
"Rohlf F.J., Slice D.","7003281107;6603334019;","Extensions of the procrustes method for the optimal superimposition of landmarks",1990,"Systematic Zoology","39","1",,"40","59",,2283,"10.2307/2992207",2-s2.0-84860428591
"Sampson P.D., Bookstein F.L., Sheehan F.H., Bolson E.L.","","Eigenshape analysis of left ventricular outlines from contrast ventriculograms",1996,"Advances in Morphometrics","284",,,"211","233",,69,,2-s2.0-0001156109
"Santillán-Guayasamín S., Villacís A.G., Grijalva M.J., Dujardin J.-P.","57193163255;25655616400;6602824393;7102125030;","The modern morphometric approach to identify eggs of Triatominae",2017,"Parasites and Vectors","10","1",,"1","10",,11,"10.1186/s13071-017-1982-2",2-s2.0-85011422836
"Sheets H.D., Covino K.M., Panasiewicz J.M., Morris S.R.","55663863700;14830225900;14830383200;7403325929;","Comparison of geometric morphometric outline methods in the discrimination of age-related differences in feather shape",2006,"Frontiers in Zoology","3",, 15,"","",,95,"10.1186/1742-9994-3-15",2-s2.0-33749530871
"Stephens C.R., Juliano S.A.","55312038800;7005705727;","Wing shape as an indicator of larval rearing conditions for aedes albopictus and aedes aegypti (Diptera: Culicidae)",2012,"Journal of Medical Entomology","49","4",,"927","938",,7,"10.1603/ME12012",2-s2.0-84863769174
"Webster M., Sheets H.D.","","A practical introduction to landmark-based geometric morphometrics",2010,"The Paleontological Society Papers","16",,,"163","188",,143,,2-s2.0-79952389558
"Yee W.L., Sheets H.D., Chapman P.S.","7005216094;55663863700;8892124400;","Analysis of surstylus and aculeus shape and size using geometric morphometrics to discriminate Rhagoletis pomonella and Rhagoletis zephyria (Diptera: Tephritidae)",2011,"Annals of the Entomological Society of America","104","2",,"105","114",,17,"10.1603/AN10029",2-s2.0-79952378642
"Zelditch M., Swiderski D., Sheets H., Fink W.","6701615282;35493322600;55663863700;7005590403;","Geometric Morphometrics for Biologists",2004,"Geometric Morphometrics for Biologists",,,,"1","443",,1366,"10.1016/B978-0-12-778460-1.X5000-5",2-s2.0-84902728366
