Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Guttentag D.A., Smith S.L.J.","32667710200;55574212663;","Assessing Airbnb as a disruptive innovation relative to hotelsSubstitution and comparative performance expectations",2017,"International Journal of Hospitality Management","64",,,"1","10",,74,"10.1016/j.ijhm.2017.02.003",2-s2.0-85016451802
"Geissinger A., Laurell C., Sandström C.","57189509653;56148137600;35118164800;","Digital Disruption beyond Uber and Airbnb—Tracking the long tail of the sharing economy",2018,"Technological Forecasting and Social Change",,,,"","",,6,"10.1016/j.techfore.2018.06.012",2-s2.0-85048878217
"Acquier A., Daudigeos T., Pinkse J.","24337275000;36343262300;55881688400;","Promises and paradoxes of the sharing economy: An organizing framework",2017,"Technological Forecasting and Social Change","125",,,"1","10",,63,"10.1016/j.techfore.2017.07.006",2-s2.0-85025147371
"Anderson C.","",[No title available],2006,"The Long Tail: How Endless Choice Is Creating Unlimited Demand",,,,"","",,340,,2-s2.0-34047184549
"Sousa M.J., Rocha Á.","55480939900;36103430000;","Skills for disruptive digital business",2019,"Journal of Business Research","94",,,"257","263",,12,"10.1016/j.jbusres.2017.12.051",2-s2.0-85044542283
"Belk R.","6602688313;","You are what you can access: Sharing and collaborative consumption online",2014,"Journal of Business Research","67","8",,"1595","1600",,674,"10.1016/j.jbusres.2013.10.001",2-s2.0-84901240428
"Mair J., Reischauer G.","35969477900;56980008400;","Capturing the dynamics of the sharing economy: Institutional research on the plural forms and practices of sharing economy organizations",2017,"Technological Forecasting and Social Change","125",,,"11","20",,46,"10.1016/j.techfore.2017.05.023",2-s2.0-85019748942
"Schor J.B., Fitzmaurice C.J.","","Collaborating and connecting: The emergence of the sharing economy",2015,"Handbook of Research on Sustainable Consumption",,,,"","",,39,,2-s2.0-84953420714
"Kumar V., Lahiri A., Dogan O.B.","7404634666;57195757787;57195756234;","A strategic framework for a profitable business model in the sharing economy",2018,"Industrial Marketing Management","69",,,"147","160",,28,"10.1016/j.indmarman.2017.08.021",2-s2.0-85029764482
"Cheng M.","55955041400;","Sharing economy: A review and agenda for future research",2016,"International Journal of Hospitality Management","57",,,"60","70",,158,"10.1016/j.ijhm.2016.06.003",2-s2.0-84975045771
"Pforr C., Volgger M., Coulson K.","","The impact of Airbnb on WA's tourism sector",2017,"Bankwest Curtin Economics Centre (BCEC) Research Report",,"6-17",,"","",,1,,2-s2.0-85067900628
"Sigala M.","6602603940;","Collaborative commerce in tourism: implications for research and industry",2017,"Current Issues in Tourism","20","4",,"346","355",,58,"10.1080/13683500.2014.982522",2-s2.0-84920545711
"Forno F., Garibaldi R.","14023911300;56702459900;","Sharing Economy in Travel and Tourism: The Case of Home-Swapping in Italy",2015,"Journal of Quality Assurance in Hospitality and Tourism","16","2",,"202","220",,31,"10.1080/1528008X.2015.1013409",2-s2.0-84946194232
"Matzler K., Veider V., Kathan W.","55886626000;56268532200;56023139300;","Adapting to the sharing economy",2015,"MIT Sloan Management Review","56","2",,"71","77",,74,,2-s2.0-84944128088
"Sundararajan A.","","The sharing economy: The end of employment and the rise of crowd-based capitalism",2016,"The Sharing Economy: The End of Employment and the Rise of Crowd-Based Capitalism",,,,"","",,342,,2-s2.0-84992387512
"Friedman G.","36763997700;","Workers without employers: Shadow corporations and the rise of the gig economy",2014,"Review of Keynesian Economics","2","2",,"171","188",,79,"10.4337/roke.2014.02.03",2-s2.0-84940738035
"Fowler G.A.","","There's an Uber for Everything Now",2015,"Wall Street Journal",,,,"","",,6,,2-s2.0-84989958935
"Guttentag D.","32667710200;","Airbnb: disruptive innovation and the rise of an informal tourism accommodation sector",2015,"Current Issues in Tourism","18","12",,"1192","1217",,355,"10.1080/13683500.2013.827159",2-s2.0-84883451160
"Laurell C., Sandström C.","56148137600;35118164800;","Comparing coverage of disruptive change in social and traditional media: Evidence from the sharing economy",2018,"Technological Forecasting and Social Change","129",,,"339","344",,5,"10.1016/j.techfore.2017.09.038",2-s2.0-85032791570
"Akbar Y.H., Tracogna A.","57192286136;57193535671;","The sharing economy and the future of the hotel industry: Transaction cost theory and platform economics",2018,"International Journal of Hospitality Management","71",,,"91","101",,18,"10.1016/j.ijhm.2017.12.004",2-s2.0-85037607208
"Guttentag D., Smith S., Potwarka L., Havitz M.","32667710200;55574212663;24179397800;6603211548;","Why Tourists Choose Airbnb: A Motivation-Based Segmentation Study",2018,"Journal of Travel Research","57","3",,"342","359",,61,"10.1177/0047287517696980",2-s2.0-85041618179
"Thomas L.","","Airbnb just closed a $1 billion round and became profitable in 2016",2017,"CNBC",,,,"","",,2,,2-s2.0-85056003811
"The Economist","","Room for All",2014,"Room for All",,,,"","",,2,,2-s2.0-85037608122
"Kim K., Baek C., Lee J.-D.","57200912392;55250626300;15757656300;","Creative destruction of the sharing economy in action: The case of Uber",2018,"Transportation Research Part A: Policy and Practice","110",,,"118","127",,9,"10.1016/j.tra.2018.01.014",2-s2.0-85042604760
"Schneider H.","","Creative Destruction and the Sharing Economy: Uber as Disruptive Innovation",2017,"Creative Destruction and the Sharing Economy",,,,"","",,8,,2-s2.0-85019629088
"Christensen C.M., Raynor M.E., McDonald R.","","What is disruptive innovation?",2015,"Harvard Business Review","93","12",,"44","53",,208,,2-s2.0-84969286700
"Buhalis D., Law R.","6603014980;7201502135;","Progress in information technology and tourism management: 20 years on and 10 years after the Internet-The state of eTourism research",2008,"Tourism Management","29","4",,"609","623",,1168,"10.1016/j.tourman.2008.01.005",2-s2.0-41549084672
"Zeng B., Gerritsen R.","52365512900;55787914000;","What do we know about social media in tourism? A review",2014,"Tourism Management Perspectives","10",,,"27","36",,201,"10.1016/j.tmp.2014.01.001",2-s2.0-84893406343
"Yang E.C.L., Khoo-Lattimore C., Arcodia C.","56494011900;36918528600;23468393500;","A systematic literature review of risk and gender research in tourism",2017,"Tourism Management","58",,,"89","100",,37,"10.1016/j.tourman.2016.10.011",2-s2.0-84992391801
"Elo S., Kyngäs H.","23980126800;7004879364;","The qualitative content analysis process",2008,"Journal of Advanced Nursing","62","1",,"107","115",,4593,"10.1111/j.1365-2648.2007.04569.x",2-s2.0-40949147823
"Adeyinka-Ojo S.","56113028900;","A strategic framework for analysing employability skills deficits in rural hospitality and tourism destinations",2018,"Tourism Management Perspectives","27",,,"47","54",,3,"10.1016/j.tmp.2018.04.005",2-s2.0-85046676829
