Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Aabo T., Fraser J.R.S., Simkins B.J.","","The rise and evolution of the chief risk officer: Enterprise risk management at Hydro One",2005,"Journal of Applied Corporate Finance","17","3",,"62","75",,46,,2-s2.0-52149124761
"Adner R.","7801600783;","Match your innovation strategy to your innovation ecosystem",2006,"Harvard Business Review","84","4",,"98","107+148",,439,,2-s2.0-33645683761
"Calandro J., Jr.","11539522900;","A leader’s guide to strategic risk management",2015,"Strategy and Leadership","43","1",,"26","35",,3,"10.1108/SL-11-2014-0082",2-s2.0-84920901914
"Chesbrough H.","6603859674;","Business model innovation: It's not just about technology anymore",2007,"Strategy and Leadership","35","6",,"12","17",,476,"10.1108/10878570710833714",2-s2.0-35548989276
"Das T.K., Teng B.-S.","57201568467;7006839528;","Risk types and inter-firm alliance structures",1996,"Journal of Management Studies","33","6",,"827","843",,278,"10.1111/j.1467-6486.1996.tb00174.x",2-s2.0-0030295141
"De Jong M., Van Dijk M.","56341914600;56956449900;","Disrupting beliefs: A new approach to business-model innovation",2015,"McKinsey Quarterly",,"3",,"66","75",,9,,2-s2.0-84946867138
"Iansiti M., Lakhani K.R.","6602150082;7003785038;","Digital ubiquity: How connections, sensors, and data are revolutionizing business",2014,"Harvard Business Review",,"November 2014",,"","",11,99,,2-s2.0-84908332774
"Katila R., Rosenberger J.D., Eisenhardt K.M.","6507438950;52763847400;6701924601;","Swimming with sharks: Technology ventures, defense mechanisms and corporate relationships",2008,"Administrative Science Quarterly","53","2",,"295","332",,294,"10.2189/asqu.53.2.295",2-s2.0-51549103938
"Manyika J., Chui M., Bisson P., Woetzel J., Dobbs R., Bughin J., Aharon D.","","Unlocking the Potential of the Internet of Things",2015,"Unlocking the Potential of the Internet of Things",,,,"","",,93,,2-s2.0-84961227396
"Olson E.G.","9279785300;","Strategically managing risk in the information age: A holistic approach",2005,"Journal of Business Strategy","26","6",,"45","54",,9,"10.1108/02756660510700618",2-s2.0-27844604199
"Osterwalder A., Pigneur Y.","",[No title available],2010,"Business Model Generation",,,,"","",,2753,,2-s2.0-70450142818
"Porter M.E., Heppelmann J.E.","7201468200;23394953500;","How smart, connected products are transforming competition",2014,"Harvard Business Review",,"November 2014",,"","",23,567,,2-s2.0-84908338932
"Vermesan O., Friess P.","6507706994;57086943300;","Internet of things applications: From research and innovation to market deployment",2014,"Internet of Things Applications: From Research and Innovation to Market Deployment",,,,"1","371",,156,,2-s2.0-85071892740
"Yin R.K.","",[No title available],1994,"Case Study Research: Design and Methods",,,,"","",,58400,,2-s2.0-0003673547
"Zott C., Amit R., Massa L.","6508196211;7004998175;57127818200;","The business model: Recent developments and future research",2011,"Journal of Management","37","4",,"1019","1042",,1310,"10.1177/0149206311406265",2-s2.0-79958142685
"Casadesus-Masanell R., Ricart J.E.","6507426720;7005761244;","How to design a winning business model",2011,"Harvard Business Review","89","1-2",,"","",,149,,2-s2.0-78751524020
