Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Dyer J.H., Singh H.","7202228536;55452702900;","The relational view: Cooperative strategy and sources of interorganizational competitive advantage",1998,"Academy of Management Review","23","4",,"660","679",,5681,"10.5465/AMR.1998.1255632",2-s2.0-0032348699
"Eaton B., Elaluf-Calderwood S., Sørensen C., Yoo Y.","36184910400;22034211800;7102879062;7201926488;","Distributed tuning of boundary resources: The case of Apple's iOS service system",2015,"MIS Quarterly: Management Information Systems","39","1",,"217","243",,133,"10.25300/MISQ/2015/39.1.10",2-s2.0-84939781260
"Eisenmann T., Parker G., Van Alstyne M.","6603030219;8858334600;8960223000;","Platform envelopment",2011,"Strategic Management Journal","32","12",,"1270","1285",,204,"10.1002/smj.935",2-s2.0-80053564187
"Eisenmann T., Parker G., Van Alstyne M.W.","6603030219;8858334600;8960223000;","Strategies for two-sided markets",2006,"Harvard Business Review","84","10",,"92","101+149",,528,,2-s2.0-33749685216
"Eisenmann T., Parker G., Van Alstyne M.","","Opening platforms: How, when and why?",2008,"Opening Platforms: How, When and Why?",,,,"","",,43,,2-s2.0-77955894948
"Farrell J., Saloner G.","","Converters, compatibility, and the control of interfaces",1992,"Journal of Industrial Economics","40","1",,"9","35",,194,,2-s2.0-0002411768
"Fleming L., Waguespack D.M.","7103387982;9435057300;","Brokerage, boundary spanning, and leadership in open innovation communities",2007,"Organization Science","18","2",,"165","180",,326,"10.1287/orsc.1060.0242",2-s2.0-34247470341
"Gamalielsson J., Lundell B.","6506812796;7004530817;","Sustainability of Open Source software communities beyond a fork: How and why has the LibreOffice project evolved?",2014,"Journal of Systems and Software","89","1",,"128","145",,41,"10.1016/j.jss.2013.11.1077",2-s2.0-84895065584
"Gawer A., Henderson R.","6506170616;7402183437;","Platform owner entry and innovation in complementary markets: Evidence from Intel",2007,"Journal of Economics and Management Strategy","16","1",,"1","34",,197,"10.1111/j.1530-9134.2007.00130.x",2-s2.0-33846291902
"Ghazawneh A., Henfridsson O.","36006505700;7801578626;","Balancing platform control and external contribution in third-party development: The boundary resources model",2013,"Information Systems Journal","23","2",,"173","192",,193,"10.1111/j.1365-2575.2012.00406.x",2-s2.0-84872911674
"Karhu K., Tang T., Hämäläinen M.","35317848900;35318900900;35910174500;","Analyzing competitive and collaborative differences among mobile ecosystems using abstracted strategy networks",2014,"Telematics and Informatics","31","2",,"319","333",,14,"10.1016/j.tele.2013.09.003",2-s2.0-84889102751
"Koch T., Windsperger J.","","Seeing through the network: Competitive advantage in the digital economy",2017,"J. Organ. Design","6","1",,"6","",,7,,2-s2.0-85048680612
"Lavie D.","11840149300;","The competitive advantage of interconnected firms: An extension of the resource-based view",2006,"Academy of Management Review","31","3",,"638","658",,892,"10.5465/AMR.2006.21318922",2-s2.0-33745700807
"Lemley M.A., Reese R.A.","16202937400;7102576352;","Reducing digital copyright infringement without restricting innovation",2004,"Stanford Law Review","56","6",,"1345","1434",,72,,2-s2.0-3142766041
"Lerner J., Tirole J.","7101861907;13805189500;","Some simple economics of open source",2002,"Journal of Industrial Economics","50","2",,"197","234",,1077,,2-s2.0-0036000474
"March J.G.","","Exploration and exploitation in organizational learning",1991,"Organization Science","2","1",,"71","87",,9122,,2-s2.0-0001812752
"Menell P.S.","","API copyrightability bleak house: Unraveling and repairing the Oracle v Google jurisdictional mess",2016,"Berkeley Tech. Law J","31","3",,"1515","1595",,1,,2-s2.0-85048699213
"Brandenburger A.M., Nalebuff B.J.","","Co-opetition",1996,"Co-opetition",,,,"","",,1510,,2-s2.0-0004170749
"Nyman L., Lindman J.","","Code forking, governance, and sustainability in open source software",2013,"Technology Innovation Management Review","3","1",,"7","12",,12,,2-s2.0-84895056770
"Nyman L., Mikkonen T., Lindman J., Fougère M.","43261907800;54420813700;18836374100;15845865400;","Perspectives on code forking and sustainability in open source software",2012,"IFIP Advances in Information and Communication Technology","378 AICT",,,"274","279",,9,"10.1007/978-3-642-33442-9_21",2-s2.0-84870354205
"Parker G., Van Alstyne M.","",[No title available],2009,"Six challenges in platform licensing and open innovation",,,,"","",,1,,2-s2.0-85048656951
"Parker G.G., Van Alstyne M.W.","8858334600;8960223000;","Two-sided network effects: A theory of information product design",2005,"Management Science","51","10",,"1494","1504",,507,"10.1287/mnsc.1050.0400",2-s2.0-27544481423
"Pon B., Seppälä T., Kenney M.","42762142100;56432448300;7102990407;","Android and the demise of operating system-based power: Firm strategy and platform control in the post-PC world",2014,"Telecommunications Policy","38","11",,"979","991",,19,"10.1016/j.telpol.2014.05.001",2-s2.0-84913533433
"Robles G., González-Barahona J.M.","8286496000;57201694910;","A comprehensive study of software forks: Dates, reasons and outcomes",2012,"IFIP Advances in Information and Communication Technology","378 AICT",,,"1","14",,23,"10.1007/978-3-642-33442-9_1",2-s2.0-84870368330
"Rochet J.-C., Tirole J.","7003964548;13805189500;","Platform competition in two-sided markets",2003,"Journal of the European Economic Association","1","4",,"990","1029",,1335,"10.1162/154247603322493212",2-s2.0-1942479042
"Rumelt R.P.","","Towards a strategic theory of the firm",1984,"Competitive Strategic Management",,,,"556","570",,1585,,2-s2.0-0001979296
"Schilling M.A.","7201756153;","Toward a general modular systems theory and its application to interfirm product modularity",2000,"Academy of Management Review","25","2",,"312","334",,699,"10.5465/AMR.2000.3312918",2-s2.0-0034343095
"Schreieck M., Wiesche M., Krcmar H.","57189630979;42962873700;6603243872;","Design and governance of platform ecosystems - Key concepts and issues for future research",2016,"24th European Conference on Information Systems, ECIS 2016",,,,"","",,29,,2-s2.0-84995747124
"Simcoe T., Watson J.","",[No title available],2016,"Forking, fragmentation and splintering",,,,"","",,1,,2-s2.0-85048692088
"Sun M., Tse E.","57196633260;56207146700;","The resource-based view of competitive advantage in two-sded markets",2009,"Journal of Management Studies","46","1",,"45","64",,23,"10.1111/j.1467-6486.2008.00796.x",2-s2.0-57649136577
"Tilson D., Lyytinen K., Sørensen C.","55442889700;7004068826;7102879062;","Digital infrastructures: The missing IS research agenda",2010,"Information Systems Research","21","4",,"748","759",,419,"10.1287/isre.1100.0318",2-s2.0-78650657326
"Tilson D., Sørensen C., Lyytinen K.","55442889700;7102879062;7004068826;","Change and control paradoxes in mobile infrastructure innovation: The Android and iOS mobile operating systems cases",2012,"Proceedings of the Annual Hawaii International Conference on System Sciences",,, 6148683,"1324","1333",,37,"10.1109/HICSS.2012.149",2-s2.0-84857927486
"Tiwana A.","","Platform ecosystems: Aligning architecture, governance, and strategy",2013,"Platform Ecosystems: Aligning Architecture, Governance, and Strategy",,,,"","",,67,,2-s2.0-85013689887
"Tiwana A., Konsynski B., Bush A.A.","6701805181;7003815617;7201882734;","Platform evolution: Coevolution of platform architecture, governance, and environmental dynamics",2010,"Information Systems Research","21","4",,"675","687",,428,"10.1287/isre.1100.0323",2-s2.0-78650659690
"Vesa M., Vaara E.","55535841900;6602566423;","Strategic ethnography 2.0: Four methods for advancing strategy process and practice research",2014,"Strategic Organization","12","4",,"288","298",,17,"10.1177/1476127014554745",2-s2.0-84908576470
"Vetter G.R.","","Opportunistic free and open source software development pathways",2016,"Harvard J. Law Tech","30","1",,"","",,1,,2-s2.0-85048697806
"Viseur R.","","Forks impacts and motivations in free and open source projects",2012,"International Journal of Advanced Computer Science and Applications","3","2",,"117","122",,12,,2-s2.0-84870376994
"Von Krogh G., Von Hippel E.","7006379217;6701699615;","The promise of research on open source software",2006,"Management Science","52","7",,"975","983",,325,"10.1287/mnsc.1060.0560",2-s2.0-33745600580
"Wade M., Hulland J.","7201453261;6602138552;","Review: The resource-based view and information systems research: Review, extension, and suggestions for future research",2004,"MIS Quarterly: Management Information Systems","28","1",,"107","142",,1531,,2-s2.0-9744223613
"Wareham J., Fox P.B., Giner J.L.C.","6701663400;17345813500;35867804700;","Technology ecosystem governance",2014,"Organization Science","25","4",,"1195","1215",,140,"10.1287/orsc.2014.0895",2-s2.0-84904902356
"West J.","7402743481;","How open is open enough? Melding proprietary and open source platform strategies",2003,"Research Policy","32","7",,"1259","1285",,424,"10.1016/S0048-7333(03)00052-0",2-s2.0-0038785540
"West J., Bogers M.","7402743481;36117631500;","Leveraging external sources of innovation: A review of research on open innovation",2014,"Journal of Product Innovation Management","31","4",,"814","831",,524,"10.1111/jpim.12125",2-s2.0-84902305980
"West J., Gallagher S.","7402743481;7103269275;","Challenges of open innovation: The paradox of firm investment in open-source software",2006,"R and D Management","36","3",,"319","331",,479,"10.1111/j.1467-9310.2006.00436.x",2-s2.0-33744771929
"West J., O'mahony S.","7402743481;56250956400;","The role of participation architecture in growing sponsored open source communities",2008,"Industry and Innovation","15","2",,"145","168",,171,"10.1080/13662710801970142",2-s2.0-43049100382
"Wheeler D.A.","",[No title available],2007,"Why Open Source Software / Free Software (OSS/FS)? Look at the Numbers!",,,,"","",,174,,2-s2.0-0141804803
"Williamson P.J., De Meyer A.","7203003456;6701335113;","Ecosystem advantage: How to successfully harness the power of partners",2012,"California Management Review","55","1",,"24","46",,82,"10.1525/cmr.2012.55.1.24",2-s2.0-84868346825
"Yin R.K.","",[No title available],1994,"Case Study Research: Design and Methods",,,,"","",,58400,,2-s2.0-0003673547
"Yoo C.S.","",[No title available],2016,"Open source, modular platforms, and the challenge of fragmentation",,,,"","",,1,,2-s2.0-85048670595
"Yoo Y., Henfridsson O., Lyytinen K.","7201926488;7801578626;7004068826;","The new organizing logic of digital innovation: An agenda for information systems research",2010,"Information Systems Research","21","4",,"724","735",,577,"10.1287/isre.1100.0322",2-s2.0-78650630327
"Yoo Y., Boland R.J., Lyytinen K., Majchrzak A.","7201926488;7101987066;7004068826;7004097019;","Organizing for innovation in the digitized world",2012,"Organization Science","23","5",,"1398","1408",,448,"10.1287/orsc.1120.0771",2-s2.0-84872555968
"Zhu F., Iansiti M.","35749187800;6602150082;","Entry into platform-based markets",2012,"Strategic Management Journal","33","1",,"88","106",,146,"10.1002/smj.941",2-s2.0-81055156316
