Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Armstrong M.","7202399733;","Competition in two-sided markets",2006,"RAND Journal of Economics","37","3",,"668","691",,873,"10.1111/j.1756-2171.2006.tb00037.x",2-s2.0-33745596723
"Baldwin C.Y., Clark K.B.","",[No title available],2000,"Design Rules: The Power of Modularity",,,,"","",,1992,,2-s2.0-0003501595
"Baldwin C.Y., Woodard C.J.","","The architecture of platforms: A unified view",2008,"The Architecture of Platforms: A Unified View",,,,"","",,61,,2-s2.0-65349158398
"Baldwin C.Y., Woodard C.J.","7201893924;35114158500;","The architecture of platforms: A unified view",2009,"Platforms, Markets and Innovation",,,,"19","44",,202,,2-s2.0-71949126345
"Barnett J.M.","56253107700;","The host's dilemma: Strategic forfeiture in platform markets for informational goods",2011,"Harvard Law Review","124","8",,"1863","1938",,18,,2-s2.0-79960008032
"Barney J.","7004413102;","Firm Resources and Sustained Competitive Advantage",1991,"Journal of Management","17","1",,"99","120",,21158,"10.1177/014920639101700108",2-s2.0-84896930624
"Bharadwaj A.S.","7004584448;","A resource-based perspective on information technology capability and firm performance: An empirical investigation",2000,"MIS Quarterly: Management Information Systems","24","1",,"169","193",,2344,,2-s2.0-9744285772
"Boudreau K.","36439037700;","Open platform strategies and innovation: Granting access vs. devolving control",2010,"Management Science","56","10",,"1849","1872",,259,"10.1287/mnsc.1100.1215",2-s2.0-77958033399
"Boudreau K.J.","36439037700;","Let a thousand flowers bloom? An early look at large numbers of software app developers and patterns of innovation",2012,"Organization Science","23","5",,"1409","1427",,203,"10.1287/orsc.1110.0678",2-s2.0-84872530838
"Boudreau K.J., Jeppesen L.B.","36439037700;8627383700;","Unpaid crowd complementors: The platform network effect mirage",2015,"Strategic Management Journal","36","12",,"1761","1777",,60,"10.1002/smj.2324",2-s2.0-84945450520
"Bryant A., Charmaz K.","",[No title available],2007,"The Sage handbook of grounded theory",,,,"","",,714,,2-s2.0-56049112059
"Cennamo C., Santalo J.","25924860300;23996084500;","Platform competition: Strategic trade-offs in platform markets",2013,"Strategic Management Journal","34","11",,"1331","1350",,84,"10.1002/smj.2066",2-s2.0-84884284115
"Dahlander L., Gann D.M.","11941014300;7101878435;","How open is innovation?",2010,"Research Policy","39","6",,"699","709",,1011,"10.1016/j.respol.2010.01.013",2-s2.0-77956491745
"De Reuver M., Sørensen C., Basole R.C.","35776955900;7102879062;24329464200;","The digital platform: A research agenda",2018,"Journal of Information Technology","33","2",,"124","135",,62,"10.1057/s41265-016-0033-3",2-s2.0-85018241471
