Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Adner R.","7801600783;","Match your innovation strategy to your innovation ecosystem",2006,"Harvard Business Review","84","4",,"98","107+148",,439,,2-s2.0-33645683761
"Amit R., Zott C.","7004998175;6508196211;","Value creation in e-business",2001,"Strategic Management Journal","22","6-7",,"493","520",,2117,"10.1002/smj.187",2-s2.0-0000355662
"Anderson G.","","Reinventing the Museum: Historical and Contemporary Perspectives on the Paradigm Shift",2004,"Reinventing the Museum: Historical and Contemporary Perspectives on the Paradigm Shift",,,,"","",,116,,2-s2.0-33644999555
"Avery J.","",[No title available],2014,,,,,"","",,1,,2-s2.0-85063226525
"Bolter J.D., Grusin R.","",[No title available],1999,"Remediation: Understanding New Media",,,,"","",,2709,,2-s2.0-0004118495
"Burgelman R.A.","","A process model of internal corporate venturing in the diversified major firm",1983,"Administrative Science Quarterly","28","2",,"223","244",,1123,,2-s2.0-0000980252
"Cameron D.","","The Museum: A Temple or the Forum",1972,"Curator","14","1",,"11","24",,116,,2-s2.0-14844338020
"Vecchio P.D., Mele G., Ndou V., Secundo G.","25927024200;37104513600;28267881300;8246738300;","Creating value from Social Big Data: Implications for Smart Tourism Destinations",2018,"Information Processing and Management","54","5",,"847","860",,31,"10.1016/j.ipm.2017.10.006",2-s2.0-85033729897
"Eisenhardt K.M.","","Building theories from case study research",1989,"Academy of Management Review","14","4",,"532","550",,18642,,2-s2.0-0001073758
[No author name available],[No author id available],[No title available],2011,"Europeana Strategic Plan",,,,"","",,3,,2-s2.0-80054711982
"Gioia D.A., Corley K.G., Hamilton A.L.","7003946419;7004228468;36180933700;","Seeking Qualitative Rigor in Inductive Research: Notes on the Gioia Methodology",2013,"Organizational Research Methods","16","1",,"15","31",,1329,"10.1177/1094428112452151",2-s2.0-84873639987
"Giudici A., Reinmoeller P., Ravasi D.","57192646772;8663751500;56006342100;","Open-system orchestration as a relational source of sensing capabilities: Evidence from a venture association",2018,"Academy of Management Journal","61","4",,"1369","1402",,6,"10.5465/amj.2015.0573",2-s2.0-85052689073
"Glaeser E.L., Kolko J., Saiz A.","7003688582;25027798800;7006042115;","Consumer city",2001,"Journal of Economic Geography","1","1",,"27","50",,884,"10.1093/jeg/1.1.27",2-s2.0-0035560936
"Glaser B.G., Strauss A.L.","",[No title available],1967,"The Discovery of Grounded Theory: Strategies for Qualitative Research",,,,"","",,43136,,2-s2.0-0003424343
"Gulati R.","7101846769;","Network location and learning: The influence of network resources and firm capabilities on alliance formation",1999,"Strategic Management Journal","20","5",,"397","420",,1308,"10.1002/(SICI)1097-0266(199905)20:5<397::AID-SMJ35>3.0.CO;2-K",2-s2.0-0001458153
"Günther W.A., Rezazade Mehrizi M.H., Huysman M., Feldberg F.","57196002192;57073896900;6603074344;40461378400;","Debating big data: A literature review on realizing value from big data",2017,"Journal of Strategic Information Systems","26","3",,"191","209",,63,"10.1016/j.jsis.2017.07.003",2-s2.0-85030871734
"Karmarkar U.S.","","The industrialization of information services",2010,"Handbook of Service Science",,,,"419","435",,11,,2-s2.0-84862940462
"Kotler N., Kotler P.","",[No title available],1998,"Museum Strategy and Marketing",,,,"","",,181,,2-s2.0-0006737599
"Locke K.","",[No title available],2001,"Grounded Theory in Management Research",,,,"","",,1030,,2-s2.0-0003844222
"Luo M.","",[No title available],2018,,,,,"","",,1,,2-s2.0-85063205571
"Lycett M.","6603170123;","'Datafication': Making sense of (big) data in a complex world",2013,"European Journal of Information Systems","22","4",,"381","386",,129,"10.1057/ejis.2013.10",2-s2.0-84878907037
"Malgonde O., Bhattacherjee A.","",[No title available],2014,"Innovating using big data: A social capital perspective",,,,"","",,1,,2-s2.0-85063237975
"Miles M.B., Huberman A.M.","",[No title available],1994,"Qualitative Data Analysis",,,,"","",,37913,,2-s2.0-0003784156
"Minghetti V., Moretti A., Micelli S.","","Reengineering the museum's role in the tourism value chain: Towards an IT business model",2002,"Information Technology and Tourism","4","1",,"131","143",,12,,2-s2.0-84858595231
[No author name available],[No author id available],[No title available],2017,,,,,"","",,1,,2-s2.0-85063212571
"Parker G.G., Alstyne M.W.V., Choudary S.P.","","Platform Revolution: How Networked Markets Are Transforming the Economy - and How to Make Them Work for You",2016,"Platform Revolution: How Networked Markets are Transforming the Economy and How to Make Them Work for You",,,,"","",,281,,2-s2.0-84984662709
"Pettigrew A.M.","","Longitudinal field research on change: Theory and practice",1990,"Organization Science","1","3",,"267","292",,1862,,2-s2.0-84929228280
"Raguseo E.","49964309800;","Big data technologies: An empirical investigation on their adoption, benefits and risks for companies",2018,"International Journal of Information Management","38","1",,"187","195",,44,"10.1016/j.ijinfomgt.2017.07.008",2-s2.0-85030995796
"Raguseo E., Pigni F., Piccoli G.","49964309800;8674247500;56185495400;","Conceptualization, operationalization, and validation of the digital data stream Readiness Index",2018,"Journal of Global Information Management","26","4",,"92","112",,1,"10.4018/JGIM.2018100106",2-s2.0-85050750567
"Raguseo E., Vitari C.","49964309800;32267599200;","Investments in big data analytics and firm performance: an empirical investigation of direct and mediating effects",2018,"International Journal of Production Research","56","15",,"5206","5221",,7,"10.1080/00207543.2018.1427900",2-s2.0-85041192774
"Rezazade Mehrizi M.H., Lashkarbolouki M.","57073896900;57073843800;","Unlearning Troubled Business Models: From Realization to Marginalization",2016,"Long Range Planning","49","3",,"298","323",,16,"10.1016/j.lrp.2015.12.005",2-s2.0-84955307464
"Seddon P.B., Constantinidis D., Tamm T., Dod H.","7006419524;31168175600;37051448800;55903574100;","How does business analytics contribute to business value?",2017,"Information Systems Journal","27","3",,"237","269",,33,"10.1111/isj.12101",2-s2.0-84963799635
"Yin R.K.","",[No title available],1994,"Case Study Research: Design and Methods",,,,"","",,58351,,2-s2.0-0003673547
