Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Olcott P.D., Levin C.S.","","Pulse width modulation: A novel readout scheme for high energy photon detection",2008,,,,,"","",,1,,2-s2.0-85072207083
"Kipnis I., Collins T., DeWitt J., Dow S., Frey A., Grillo A., Johnson R., Kroeger W., Leona A., Luo L., Mandelli E., Manfredi P.F., Melani M., Momayezi M., Morsani F., Nyman M., Pedrali-Noy M., Poplevin P., Spencer E., Re V., Roe N.","7004410436;7201800595;7007169288;15819026900;34569178400;35227253600;57202138054;14121474400;6602196239;24791070400;7003562412;7101841859;8690230700;57206148125;8863305400;57203229051;6603299032;7801595101;14068120500;8680609500;34572783400;","A Time-over-threshold machine: The readout integrated circuit for the BABAR Silicon Vertex Tracker",1997,"IEEE Transactions on Nuclear Science","44","3 PART 1",,"289","297",,77,"10.1109/23.603658",2-s2.0-33747634688
"Anghinolfi F., Jarron P., Martemiyanov A.N., Usenko E., Wenninger H., Williams M.C.S., Zichichi A.","7003443694;7004254584;6602689244;6602631251;6602237681;7410004297;57201836670;","NINO: An ultra-fast and low-power front-end amplifier/discriminator ASIC designed for the multigap resistive plate chamber",2004,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","533","1-2",,"183","187",,249,"10.1016/j.nima.2004.07.024",2-s2.0-7044248008
"Yonggang W., Xinyi C., Deng L., Wensong Z., Chong L.","6603217047;55625985200;57199950495;49862317700;56003292900;","A linear time-over-threshold digitizing scheme and its 64-channel DAQ prototype design on FPGA for a continuous crystal PET detector",2014,"IEEE Transactions on Nuclear Science","61","1", 6710205,"99","106",,18,"10.1109/TNS.2013.2293758",2-s2.0-84894474797
"Perić I., Blanquart L., Comes G., Denes P., Einsweiler K., Fischer P., Mandelli E., Meddeler G.","9043482900;6701393282;6602993767;57203012983;7006058984;7401648837;7003562412;6602090601;","The FEI3 readout chip for the ATLAS pixel detector",2006,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","565","1",,"178","187",,171,"10.1016/j.nima.2006.05.032",2-s2.0-33747192248
"Kugathasan T., Mazza G., Rivetti A., Toscano L.","35620678300;36642048100;8261648900;8261648600;","A 15μW 12-bit dynamic range charge measuring front-end in 0.13μm CMOS",2010,"IEEE Nuclear Science Symposium Conference Record",,, 5874058,"1667","1673",,4,"10.1109/NSSMIC.2010.5874058",2-s2.0-79960302667
"Harion T., Briggl K., Chen H., Fischer P., Gil A., Kiworra V., Ritzert M., Schultz-Coulon H.-C., Shen W., Stankova V.","44861266500;55822261800;35338791600;57202725830;25824779000;14017907500;23480300600;34882096000;34882129000;26656287800;","STiC - A mixed mode silicon photomultiplier readout ASIC for time-of-flight applications",2014,"Journal of Instrumentation","9","2", C02003,"","",,14,"10.1088/1748-0221/9/02/C02003",2-s2.0-84894805688
"Wang Y., Xiao Y., Zhu W.","","A method generating a time-varying threshold to keep the time-over-threshold linear with nuclear pulse amplitudes",0000,,,,,"1","4",,1,,2-s2.0-85072225029
[No author name available],[No author id available],[No title available],2004,"LVDS Owner's Manual",,,,"","",,69,,2-s2.0-33746329814
[No author name available],[No author id available],[No title available],2002,"LVDS Application and Data Handbook",,,,"","",,15,,2-s2.0-33847734975
"Chen H., Zhang Y., Li D.D.-U.","57194052226;57189731720;56381706200;","A low nonlinearity, missing-code free time-to-digital converter based on 28-nm FPGAS with embedded bin-width calibrations",2017,"IEEE Transactions on Instrumentation and Measurement","66","7", 7898491,"1912","1921",,9,"10.1109/TIM.2017.2663498",2-s2.0-85018512210
"Cui K., Ren Z., Li X., Liu Z., Zhu R.","57209181111;55836110100;57190290348;24480238300;7202446513;","A High-Linearity, Ring-Oscillator-Based, Vernier Time-to-Digital Converter Utilizing Carry Chains in FPGAs",2017,"IEEE Transactions on Nuclear Science","64","1", 7755750,"697","704",,11,"10.1109/TNS.2016.2632168",2-s2.0-85015737137
"Liu C., Wang Y.","56267834100;56624620700;","A 128-channel, 710 M samples/second, and less than 10 ps RMS resolution time-to-digital converter implemented in a kintex-7 FPGA",2015,"IEEE Transactions on Nuclear Science","62","3", 7100940,"773","783",,31,"10.1109/TNS.2015.2421319",2-s2.0-85027930417
"Wang Y., Kuang J., Liu C., Cao Q.","56624620700;57192698211;56267834100;57192700434;","A 3.9-ps RMS Precision Time-to-Digital Converter Using Ones-Counter Encoding Scheme in a Kintex-7 FPGA",2017,"IEEE Transactions on Nuclear Science","64","10", 8022888,"2713","2718",,8,"10.1109/TNS.2017.2746626",2-s2.0-85028726875
"Vinke R., Löhner H., Schaart D.R., van Dam H.T., Seifert S., Beekman F.J., Dendooven P.","36891697500;55924011700;6603442293;35241516600;26656253600;7007152155;7005354301;","Optimizing the timing resolution of SiPM sensors for use in TOF-PET detectors",2009,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","610","1",,"188","191",,50,"10.1016/j.nima.2009.05.068",2-s2.0-71749116267
[No author name available],[No author id available],[No title available],0000,,,,,"","",,1,,2-s2.0-85072178655
