Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Cyert R.M., March J.G.","","A behavioral theory of the firm",1963,"A Behavioral Theory of the Firm",,,,"","",,9646,,2-s2.0-0004192228
"De Reuver M., Sørensen C., Basole R.C.","35776955900;7102879062;24329464200;","The digital platform: A research agenda",2018,"Journal of Information Technology","33","2",,"124","135",,62,"10.1057/s41265-016-0033-3",2-s2.0-85018241471
"De Souza C.R.B., Redmiles D.F.","34972632800;6604049177;","On the roles of APIs in the coordination of collaborative software development",2009,"Computer Supported Cooperative Work","18","5-6",,"445","475",,27,"10.1007/s10606-009-9101-3",2-s2.0-73449102825
"Dosi G., Nelson R.R.","6603808130;7404560006;","Technical change and industrial dynamics as evolutionary processes",2010,"Handbook of the Economics of Innovation","1","1 C",,"51","127",,148,"10.1016/S0169-7218(10)01003-8",2-s2.0-84872399478
"Ducheneaut N.","6507336427;","Socialization in an open source software community: A socio-technical analysis",2005,"Computer Supported Cooperative Work: CSCW: An International Journal","14","4",,"323","368",,234,"10.1007/s10606-005-9000-1",2-s2.0-26844518777
"Eaton B., Elaluf-Calderwood S., Sørensen C., Yoo Y.","36184910400;22034211800;7102879062;7201926488;","Distributed tuning of boundary resources: The case of Apple's iOS service system",2015,"MIS Quarterly: Management Information Systems","39","1",,"217","243",,133,"10.25300/MISQ/2015/39.1.10",2-s2.0-84939781260
"Eisenmann T.R., Parker G., Van Alstyne M.","6603030219;8858334600;8960223000;","Opening platforms: How, when and why?",2009,"Platforms, Markets and Innovation",,,,"131","162",,113,,2-s2.0-77958042047
"Farjoun M.","6603447419;","Beyond dualism: StabilitY and change as a duality",2010,"Academy of Management Review","35","2",,"202","225",,388,"10.5465/AMR.2010.48463331",2-s2.0-77952252993
"Fleming L.","57203215454;","Recombinant uncertainty in technological search",2001,"Management Science","47","1",,"117","132",,949,"10.1287/mnsc.47.1.117.10671",2-s2.0-0035239264
"Boh W.F., Slaughter S.A., Espinosa J.A.","6507438112;7005458710;56497240600;","Learning from experience in software development: A multilevel analysis",2007,"Management Science","53","8",,"1315","1331",,163,"10.1287/mnsc.1060.0687",2-s2.0-38549099676
"Foss N.J., Frederiksen L., Rullani F.","7005282199;12760182600;24171689500;","Problem-formulation and problem-solving in self-organized communities: How modes of communication shape project behaviors in the free open-source software community",2016,"Strategic Management Journal","37","13",,"2589","2610",,15,"10.1002/smj.2439",2-s2.0-84950132810
"Ghazawneh A., Henfridsson O.","36006505700;7801578626;","Balancing platform control and external contribution in third-party development: The boundary resources model",2013,"Information Systems Journal","23","2",,"173","192",,193,"10.1111/j.1365-2575.2012.00406.x",2-s2.0-84872911674
"Grewal R., Lilien G.L., Mallapragada G.","7101680834;6701599255;14028528800;","Location, location, location: How network embeddedness affects project success in open source systems",2006,"Management Science","52","7",,"1043","1056",,310,"10.1287/mnsc.1060.0550",2-s2.0-33745632620
"Haken H.","",[No title available],1983,"Synergetics: An Introduction",,,,"","",,2182,,2-s2.0-0003994617
"Henfridsson O., Bygstad B.","7801578626;22233399900;","The generative mechanisms of digital infrastructure evolution",2013,"MIS Quarterly: Management Information Systems","37","3",,"907","931",,219,"10.25300/MISQ/2013/37.3.11",2-s2.0-84887414769
"Howison J., Crowston K.","9637168300;6701434689;","Collaboration through open superposition: A theory of the open source way",2014,"MIS Quarterly: Management Information Systems","38","1",,"29","50",,66,"10.25300/MISQ/2014/38.1.02",2-s2.0-84905996125
"Johnson S.L., Faraj S., Kudaravalli S.","57169243900;6603586075;55502773300;","Emergence of power laws in online communities: The role of social mechanisms and preferential attachment",2014,"MIS Quarterly: Management Information Systems","38","3",,"795","808",,53,"10.25300/MISQ/2014/38.3.08",2-s2.0-84944877960
"Kallinikos J., Aaltonen A., Marton A.","6602635163;36451796600;36451779500;","The ambivalent ontology of digital artifacts",2013,"MIS Quarterly: Management Information Systems","37","2",,"357","370",,162,"10.25300/MISQ/2013/37.2.02",2-s2.0-84876837817
"Kane G.C., Alavi M.","14832822100;7005156093;","Information technology and organizational learning: An investigation of exploration and exploitation processes",2007,"Organization Science","18","5",,"796","812",,221,"10.1287/orsc.1070.0286",2-s2.0-59549105474
"Katila R., Ahuja G.","6507438950;7005707901;","Something old, something new: A longitudinal study of search behavior and new product introduction",2002,"Academy of Management Journal","45","6",,"1183","1194",,1500,"10.2307/3069433",2-s2.0-0036961401
"Katz M.L., Shapiro C.","","Systems competition and network effects",1994,"Journal of Economic Perspectives","8","2",,"93","115",,1102,,2-s2.0-0002981164
"Kellogg K.C., Orlikowski W.J., Yates J.","8545483600;6701858440;7401624306;","Life in the trading zone: Structuring coordination across boundaries in postbureaucratic organizations",2006,"Organization Science","17","1",,"22","44",,394,"10.1287/orsc.1050.0157",2-s2.0-33644595351
"Kyriakou H., Nickerson J.V., Sabnis G.","57193749822;7007157887;55578592200;","Knowledge reuse for customization: Metamodels in an open design community for 3D printing",2017,"MIS Quarterly: Management Information Systems","41","1",,"315","332",,14,"10.25300/MISQ/2017/41.1.17",2-s2.0-85016258999
"Levinthal D.A.","7003966546;","Adaptation on rugged landscapes",1997,"Management Science","43","7",,"934","950",,962,"10.1287/mnsc.43.7.934",2-s2.0-0031176451
"Levinthal D., March J.G.","7003966546;7102284894;","A model of adaptive organizational search",1981,"Journal of Economic Behavior and Organization","2","4",,"307","333",,554,"10.1016/0167-2681(81)90012-3",2-s2.0-1542793915
"Lindberg A., Berente N., Gaskin J., Lyytinen K.","56102237400;23666390000;36006215900;7004068826;","Coordinating interdependencies in online communities: A study of an open source software project",2016,"Information Systems Research","27","4",,"751","772",,20,"10.1287/isre.2016.0673",2-s2.0-85010408653
"Lingo E.L., O'Mahony S.","6505707129;56250956400;","Nexus work: Brokerage on creative projects",2010,"Administrative Science Quarterly","55","1",,"47","81",,191,"10.2189/asqu.2010.55.1.47",2-s2.0-77954309012
"Lyytinen K., Rose G., Yoo Y.","7004068826;25031606300;7201926488;","Learning routines and disruptive technological change: Hyper-learning in seven software development organizations during internet adoption",2010,"Information Technology and People","23","2",,"165","192",,15,"10.1108/09593841011052156",2-s2.0-77952941530
"Lyytinen K., Yoo Y., Boland R.J., Jr.","7004068826;7201926488;7101987066;","Digital product innovation within four classes of innovation networks",2016,"Information Systems Journal","26","1",,"47","75",,69,"10.1111/isj.12093",2-s2.0-84949256960
"Madhavan K., Zentner M., Klimeck G.","36141964000;7004225338;56250324100;","Learning and research in the cloud",2013,"Nature Nanotechnology","8","11",,"786","789",,14,"10.1038/nnano.2013.231",2-s2.0-84888387362
"Malone T.W., Crowston K.","7006382380;6701434689;","The Interdisciplinary Study of Coordination",1994,"ACM Computing Surveys (CSUR)","26","1",,"87","119",,1786,"10.1145/174666.174668",2-s2.0-0028401441
"March J.G.","","Exploration and exploitation in organizational learning",1991,"Organization Science","2","1",,"71","87",,9117,,2-s2.0-0001812752
"Mclennan M., Kennell R.","7006288498;15725309400;","HUBzero: A platform for dissemination and collaboration in computational science and engineering",2010,"Computing in Science and Engineering","12","2", 5432299,"48","52",,181,"10.1109/MCSE.2010.41",2-s2.0-77950012959
"Murray F., O'Mahony S.","7103038994;56250956400;","Exploring the foundations of cumulative innovation: Implications for organization science",2007,"Organization Science","18","6",,"1006","1021",,125,"10.1287/orsc.1070.0325",2-s2.0-43049144941
"Nambisan S.","55946896600;","Digital Entrepreneurship: Toward a Digital Technology Perspective of Entrepreneurship",2017,"Entrepreneurship: Theory and Practice","41","6",,"1029","1055",,98,"10.1111/etap.12254",2-s2.0-84999622321
"Nambisan S.","55946896600;","Information technology and product/service innovation: A brief assessment and some suggestions for future research",2013,"Journal of the Association of Information Systems","14","4",,"215","226",,132,,2-s2.0-84876921635
"Nambisan S.","55946896600;","Complementary product integration by high-technology new ventures: The role of initial technology strategy",2002,"Management Science","48","3",,"382","398",,62,"10.1287/mnsc.48.3.382.7724",2-s2.0-0036492936
"Nambisan S., Lyytinen K., Majchrzak A., Song M.","","Digital innovation management: Reinventing innovation management research in a digital world",2017,"MIS Quarterly","41","1",,"223","238",,160,,2-s2.0-85016248484
"Nelson R.R., Winter S.G.","7404560006;7202247306;","In search of useful theory of innovation",1977,"Research Policy","6","1",,"36","76",,1118,"10.1016/0048-7333(77)90029-4",2-s2.0-0017578548
"Parker G., Van Alstyne M.","57202439385;8960223000;","Innovation, openness, and platform control",2018,"Management Science","64","7",,"3015","3032",,24,"10.1287/mnsc.2017.2757",2-s2.0-85047951547
"Parker G.G., Alstyne M.W.V., Choudary S.P.","","Platform Revolution: How Networked Markets Are Transforming the Economy - and How to Make Them Work for You",2016,"Platform Revolution: How Networked Markets are Transforming the Economy and How to Make Them Work for You",,,,"","",,281,,2-s2.0-84984662709
"Parker G.G., Van Alstyne M.W.","8858334600;8960223000;","Two-sided network effects: A theory of information product design",2005,"Management Science","51","10",,"1494","1504",,506,"10.1287/mnsc.1050.0400",2-s2.0-27544481423
"Parnas D.L.","7006616905;","On the criteria to be used in decomposing systems into modules",1972,"Communications of the ACM","15","12",,"1053","1058",,2412,"10.1145/361598.361623",2-s2.0-0015482049
"Porter A.L., Youtie J.","55418378000;6603421781;","How interdisciplinary is nanotechnology?",2009,"Journal of Nanoparticle Research","11","5",,"1023","1041",,121,"10.1007/s11051-009-9607-0",2-s2.0-67650714529
"Quintane E., Carnabuci G.","54279268900;15743855700;","How do brokers broker? Tertius gaudens, tertius iungens, and the temporality of structural holes",2016,"Organization Science","27","6",,"1343","1360",,13,"10.1287/orsc.2016.1091",2-s2.0-85009420709
"Schecter A., Pilny A., Leung A., Poole M.S., Contractor N.","57191161356;54919352500;57204532543;7102423839;6604054547;","Step by step: Capturing the dynamics of work team process through relational event sequences",2018,"Journal of Organizational Behavior","39","9",,"1163","1181",,9,"10.1002/job.2247",2-s2.0-85055987382
"Schilling M.A., Green E.","7201756153;42961342100;","Recombinant search and breakthrough idea generation: An analysis of high impact papers in the social sciences",2011,"Research Policy","40","10",,"1321","1331",,79,"10.1016/j.respol.2011.06.009",2-s2.0-80255129721
"Shaft T.M., Vessey I.","6603262441;7004429096;","The role of cognitive fit in the relationship between software comprehension and modification",2006,"MIS Quarterly: Management Information Systems","30","1",,"29","55",,133,,2-s2.0-33744808509
"Shneiderman B., Mayer R.","7006313615;7403065717;","Syntactic/semantic interactions in programmer behavior: A model and experimental results",1979,"International Journal of Computer & Information Sciences","8","3",,"219","238",,185,"10.1007/BF00977789",2-s2.0-34248932786
"Simon H.A.","","Bounded rationality and organizational learning",1991,"Organization Science","2","1",,"125","134",,1489,,2-s2.0-0003311857
"Simon H.A.","","The architecture of complexity",1991,"The Architecture of Complexity",,,,"457","476",,111,,2-s2.0-0009409194
"Simon H.A.","7402135283;","A behavioral model of rational choice",1955,"Quarterly Journal of Economics","69","1",,"99","118",,5734,"10.2307/1884852",2-s2.0-84959810873
"Star S.L., Griesemer J.R.","6701370611;6602413557;","Institutional Ecology, ‘Translations’ and Boundary Objects: Amateurs and Professionals in Berkeley's Museum of Vertebrate Zoology, 1907–39",1989,"Social Studies of Science","19","3",,"387","420",,4461,"10.1177/030631289019003001",2-s2.0-84970642045
"Tilson D., Lyytinen K., Sørensen C.","55442889700;7004068826;7102879062;","Digital infrastructures: The missing IS research agenda",2010,"Information Systems Research","21","4",,"748","759",,419,"10.1287/isre.1100.0318",2-s2.0-78650657326
"Tiwana A.","6701805181;","Evolutionary competition in platform ecosystems",2015,"Information Systems Research","26","2",,"266","281",,72,"10.1287/isre.2015.0573",2-s2.0-84959206782
"Tiwana A., Konsynski B., Bush A.A.","6701805181;7003815617;7201882734;","Platform evolution: Coevolution of platform architecture, governance, and environmental dynamics",2010,"Information Systems Research","21","4",,"675","687",,428,"10.1287/isre.1100.0323",2-s2.0-78650659690
"Um S.Y., Yoo Y., Wattal S., Kulathinal R.J., Zhang B.","55557900800;7201926488;17344588700;57208459339;55605769613;","The architecture of generativity in a digital ecosystem: A network biology perspective",2013,"International Conference on Information Systems (ICIS 2013): Reshaping Society Through Information Systems Design","4",,,"3721","3733",,13,,2-s2.0-84897804942
"Vedres B., Stark D.","8261829500;35305676800;","Structural folds: Generative disruption in overlapping groups",2010,"American Journal of Sociology","115","4",,"1150","1190",,111,"10.1086/649497",2-s2.0-77949510316
