Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Almirall E., Casadesus-Masanell R.","35219712500;6507426720;","Open versus closed innovation: A model of discovery and divergence",2010,"Academy of Management Review","35","1",,"27","47",,240,"10.5465/AMR.2010.45577790",2-s2.0-71949089998
"Argote L., Epple D.","6603016168;6701460925;","Learning curves in manufacturing",1990,"Science","247","4945",,"920","924",,661,"10.1126/science.247.4945.920",2-s2.0-0025021555
"Baldwin C.Y., Clark K.B.","7201893924;7402415378;","The architecture of participation: Does code architecture mitigate free riding in the open source development model?",2006,"Management Science","52","7",,"1116","1127",,202,"10.1287/mnsc.1060.0546",2-s2.0-33745599879
"Baldwin C.Y., Clark K.B.","","Modularity in the design of complex engineering systems",2004,"Modularity in the Design of Complex Engineering Systems",,,,"","",,35,,2-s2.0-69949146944
"Baldwin C.Y., Clark K.B.","",[No title available],2000,"Design Rules: The Power of Modularity",,,,"","",,1991,,2-s2.0-0003501595
"Baldwin C., von Hippel E.","7201893924;6701699615;","Modeling a paradigm shift: From producer innovation to user and open collaborative innovation",2011,"Organization Science","22","6",,"1399","1417",,365,"10.1287/orsc.1100.0618",2-s2.0-79959828986
"Baldwin C.Y., Woodard C.J.","7201893924;35114158500;","The architecture of platforms: A unified view",2009,"Platforms, Markets and Innovation",,,,"19","44",,202,,2-s2.0-71949126345
"Bolici F., Howison J., Crowston K.","56185873900;9637168300;6701434689;","Stigmergic coordination in FLOSS development teams: Integrating explicit and implicit mechanisms",2016,"Cognitive Systems Research","38",,,"14","22",,6,"10.1016/j.cogsys.2015.12.003",2-s2.0-84958107516
"Boudreau K.J.","36439037700;","Let a thousand flowers bloom? An early look at large numbers of software app developers and patterns of innovation",2012,"Organization Science","23","5",,"1409","1427",,203,"10.1287/orsc.1110.0678",2-s2.0-84872530838
"Boudreau K.","36439037700;","Open platform strategies and innovation: Granting access vs. devolving control",2010,"Management Science","56","10",,"1849","1872",,259,"10.1287/mnsc.1100.1215",2-s2.0-77958033399
"Boudreau K.J., Jeppesen L.B.","36439037700;8627383700;","Unpaid crowd complementors: The platform network effect mirage",2015,"Strategic Management Journal","36","12",,"1761","1777",,60,"10.1002/smj.2324",2-s2.0-84945450520
"Boudreau K.J., Lakhani K.R.","36439037700;7003785038;","""open"" disclosure of innovations, incentives and follow-on reuse: Theory on processes of cumulative innovation and a field experiment in computational biology",2015,"Research Policy","44","1",,"4","19",,38,"10.1016/j.respol.2014.08.001",2-s2.0-84916941714
"Brunswicker S., Almirall E., Majchrzak A.","",[No title available],0000,,,,,"","",,1,,2-s2.0-85064431043
"Brunswicker S., Matei S.A., Zentner M., Zentner L., Klimeck G.","36467926700;6602826108;7004225338;54928811300;56250324100;","Creating impact in the digital space: digital practice dependency in communities of digital scientific innovations",2017,"Scientometrics","110","1",,"417","442",,2,"10.1007/s11192-016-2106-z",2-s2.0-84986300658
"Burt R.S.","35996340900;","Structural holes and good ideas",2004,"American Journal of Sociology","110","2",,"349","399",,2151,"10.1086/421787",2-s2.0-6344265551
"Butts C.T.","7005912940;","A relational event framework for social action",2008,"Sociological Methodology","38","1",,"155","200",,145,"10.1111/j.1467-9531.2008.00203.x",2-s2.0-54049156450
"Butts C., Marcum C.S.","","A relational event approach to modeling behavioral dynamics",2017,"Group Processes: Data-Driven Computational Approaches",,,,"51","92",,4,,2-s2.0-85045473704
"Carlile P.R.","6602490152;","Transferring, translating, and transforming: An integrative framework for managing knowledge across boundaries",2004,"Organization Science","15","5",,"555","568",,1428,"10.1287/orsc.1040.0094",2-s2.0-7544248475
"Carlile P.R.","6602490152;","A pragmatic view of knowledge and boundaries: Boundary objects in new product development",2002,"Organization Science","13","4",,"442","455+456",,1777,,2-s2.0-0036638032
"Carlile P.R., Rebentisch E.S.","6602490152;6701767898;","Into the Black Box: The Knowledge Transformation Cycle",2003,"Management Science","49","9",,"1180","1195",,283,"10.1287/mnsc.49.9.1180.16564",2-s2.0-0142126839
"Cohen W.M., Levinthal D.A.","","Absorptive capacity: A new perspective on learning and innovation",2000,"Strategic Learning in a Knowledge Economy: Individual, Collective and Organizational Learning Process",,,,"39","67",,43,,2-s2.0-0010294635
"Cohen W.M., Levinthal D.A.","","Absorptive capacity: A new perspective on learning and innovation",1990,"Administrative Science Quarterly","35","1",,"128","152",,13644,,2-s2.0-84936166194
