Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Agarwal R., Ferratt T.W.","7402481134;6603687179;","Rafting an HR strategy to meet the need for IT workers",2001,"Communications of the ACM","44","7",,"58","64",,80,"10.1145/379300.379314",2-s2.0-0042191975
"Amir R.","7005008489;","Supermodularity and complementarity in economics: An elementary survey",2005,"Southern Economic Journal","71","3",,"636","660",,94,"10.2307/20062066",2-s2.0-12744281773
"Ang S., Slaughter S., Ng K.Y.","7102365520;7005458710;7403179073;","Human capital and institutional determinants of information technology compensation: Modeling multilevel and cross-level interactions",2002,"Management Science","48","11",,"1427","1445",,130,"10.1287/mnsc.48.11.1427.264",2-s2.0-0036870375
"Aral S., Brynjolfsson E., Wu D.J.","","Which came first, IT or productivity? The virtuous cycle of investment and use in enterprise systems",2006,"Twenty Seventh International Conference on Information Systems",,,,"1","22",,21,,2-s2.0-34848917095
"Arora A., Gambardella A.","","Complementarity and external linkages: The strategies of the large firms in biotechnology",1990,"Journal of Industrial Economics","38","4",,"361","379",,633,,2-s2.0-84934453759
"Athey S., Stern S.","","An empirical framework for testing theories about complementarity in organizational design",1998,"An Empirical Framework for Testing Theories about Complementarity in Organizational Design",,,,"","",,179,,2-s2.0-0003565924
"Attewell P.","","Technology diffusion and organizational learning: The case of business computing",1992,"Organization Science","3","1",,"1","19",,818,,2-s2.0-84936823811
"Bapna R., Langer N., Mehra A., Gopal R., Gupta A.","7003835815;55502202600;36703160300;7102284985;7410387545;","Human capital investments and employee performance: An analysis of IT services industry",2013,"Management Science","59","3",,"641","658",,47,"10.1287/mnsc.1120.1586",2-s2.0-84874742682
"Barua A., Mani D., Mukherjee R.","",[No title available],2012,"Measuring the Business Impacts of Effective Data",,,,"","",,6,,2-s2.0-84902286476
"Bertolucci J.","","Big data's ""Wild West"" period stars Hadoop",2012,"InformationWeek",,,,"","",,1,,2-s2.0-84902271506
"Bloom N., Sadun R., Van Reenen J.","55147487400;36168744600;7005708650;","Americans do IT better: US multinationals and the productivity miracle",2012,"American Economic Review","102","1",,"167","201",,181,"10.1257/aer.102.1.167",2-s2.0-84856866370
"Borjas G.J., Freeman R.B., Katz L.F.","7003830963;55331486100;7202789820;","Searching for the Effect of Immigration on the Labor Market",1996,"American Economic Review","86","2",,"246","251",,209,,2-s2.0-0000268297
"Bresnahan T.F., Brynjolfsson E., Hitt L.M.","6602101039;6603955274;6603842791;","Information technology, workplace organization, and the demand for skilled labor: Firm-level evidence",2002,"Quarterly Journal of Economics","117","1",,"339","376",,1176,"10.1162/003355302753399526",2-s2.0-0036487688
