Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Ardila J.P., Bijker W., Tolpekin V.A., Stein A.","36558875800;13006600600;16418092800;7401758587;","Multitemporal change detection of urban trees using localized region-based active contours in VHR images",2012,"Remote Sensing of Environment","124",,,"413","426",,29,"10.1016/j.rse.2012.05.027",2-s2.0-84862336740
"Baret F., Guyot G.","7006967825;7005535748;","Potentials and limits of vegetation indices for LAI and APAR assessment",1991,"Remote Sensing of Environment","35","2-3",,"161","173",,1167,"10.1016/0034-4257(91)90009-U",2-s2.0-0026305589
"Deng S., Katoh M., Guan Q., Yin N., Li M.","55191446500;36828600600;55190926000;56023912500;36647768500;","Estimating forest aboveground biomass by combining ALOS PALSAR and WorldView-2 data: A case study at Purple Mountain National Park, Nanjing, China",2014,"Remote Sensing","6","9",,"7878","7910",,18,"10.3390/rs6097878",2-s2.0-84907462220
"Dey V., Zhang Y., Zhong M.","16240956000;35365712500;57203235486;","A review on image segmentation techniques with remote sensing perspective",2010,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","38",,,"31","42",,129,,2-s2.0-84923876879
"Gonzalez R.C., Woods R.E., Eddins S.L.","",[No title available],2004,"Digital Image Processing Using MATLAB",,,,"","",,5277,,2-s2.0-5444276464
"Gebreslasie M.T., Ahmed F.B., van Aardt J.A.N., Blakeway F.","24070187500;57197484670;15623611400;6602297127;","Individual tree detection based on variable and fixed window size local maxima filtering applied to IKONOS imagery for even-aged Eucalyptus plantation forests",2011,"International Journal of Remote Sensing","32","15",,"4141","4154",,24,"10.1080/01431161003777205",2-s2.0-80051749815
"Forthofer R.N., Lee E.S., Hernandez M.","6701440710;7406966221;7401972073;","Biostatistics: A Guide to Design, Analysis and Discovery",2006,"Biostatistics: A Guide to Design, Analysis and Discovery",,,,"1","602",,15,"10.1016/C2009-0-03861-6",2-s2.0-84902064441
"Hamuda E., Glavin M., Jones E.","57189323053;6602095350;25958101300;","A survey of image processing techniques for plant extraction and segmentation in the field",2016,"Computers and Electronics in Agriculture","125",,,"184","199",,81,"10.1016/j.compag.2016.04.024",2-s2.0-84969174961
"Heikkinen V., Tokola T., Parkkinen J., Korpela I., Jääskeläinen T.","23011786700;6602126478;56265978600;12796555500;7006309317;","Simulated multispectral imagery for tree species classification using support vector machines",2010,"IEEE Transactions on Geoscience and Remote Sensing","48","3 PART2", 2032239,"1355","1364",,36,"10.1109/TGRS.2009.2032239",2-s2.0-79951904873
"Hu Z., Gong H., Zhu L.","","Fast flooding information extraction in emergency response of flood disaster",2007,"Proceedings of the ISPRS Workshop on Updating Geo-Spatial Databases with Imagery and the 5Th ISPRS Workshop on Dmgiss",,,,"173","177",,5,,2-s2.0-72349091387
