Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Jin X., Davis C.H.","36820385500;7404360319;","Automated building extraction from high-resolution satellite imagery in Urban areas using structural, contextual, and spectral information",2005,"Eurasip Journal on Applied Signal Processing","2005","14",,"2196","2206",,160,"10.1155/ASP.2005.2196",2-s2.0-29544440639
"Kamiran N., Sarker M.L.R.","56203538400;36996313800;","Exploring the potential of high resolution remote sensing data for mapping vegetation and the age groups of oil palm plantation",2014,"IOP Conference Series: Earth and Environmental Science","18","1", 012181,"","",,7,"10.1088/1755-1315/18/1/012181",2-s2.0-84902352351
"Ke Y., Quackenbush L.J.","35784422100;36779146200;","A review of methods for automatic individual tree-crown detection and delineation from passive remote sensing",2011,"International Journal of Remote Sensing","32","17",,"4725","4747",,128,"10.1080/01431161.2010.494184",2-s2.0-80053129356
"Koch B., Heyder U., Welnacker H.","15069557700;16306974700;12808603200;","Detection of individual tree crowns in airborne lidar data",2006,"Photogrammetric Engineering and Remote Sensing","72","4",,"357","363",,268,"10.14358/PERS.72.4.357",2-s2.0-33645801594
"Kwak D.-A., Lee W.-K., Lee J.-H., Biging G.S., Gong P.","23011806300;14050751600;35318106300;6701790782;7102704109;","Detection of individual trees and estimation of tree height using LiDAR data",2007,"Journal of Forest Research","12","6",,"425","434",,128,"10.1007/s10310-007-0041-9",2-s2.0-36448988610
"Lin Y., Jiang M., Yao Y., Zhang L., Lin J.","57193678641;24332070300;24386032700;35575607000;56129616500;","Use of UAV oblique imaging for the detection of individual trees in residential environments",2015,"Urban Forestry and Urban Greening","14","2",,"404","412",,29,"10.1016/j.ufug.2015.03.003",2-s2.0-84940163510
"Soares Machado C.A., Knopik Beltrame A.M., Shinohara E.J., Giannotti M.A., Durieux L., Nóbrega T.M.Q., Quintanilha J.A.","55973700500;56274466400;56041180900;55574872800;24080112400;56274632000;6507254654;","Identifying concentrated areas of trip generators from high spatial resolution satellite images using object-based classification techniques",2014,"Applied Geography","53",,,"271","283",,12,"10.1016/j.apgeog.2014.06.022",2-s2.0-84904384829
"Maldonado W., Jr., Barbosa J.C.","55621673400;12041945900;","Automatic green fruit counting in orange trees using digital images",2016,"Computers and Electronics in Agriculture","127",,,"572","581",,16,"10.1016/j.compag.2016.07.023",2-s2.0-84979521121
"Okeh U.M., Okoro C.N.","","Evaluating Measures of Indicators of Diagnostic Test Performance: Fundamental Meanings and Formulars",2012,"J Biomet Biostat","3","1",,"","",,16,,2-s2.0-85007618710
"Park T., Lee J.Y., Lee W.K., Kwak D.A., Kwak H., Lee S.","","Automated Individual Tree Detection and Crown Delineation Using High Spatial Resolution RGB Aerial Imagery",2011,"Korean Journal of Remote Sensing","27",,,"703","715",,3,,2-s2.0-84890914015
"Pouliot D., King D.","8212745300;7404430182;","Approaches for optimal automated individual tree crown detection in regenerating coniferous forests",2005,"Canadian Journal of Remote Sensing","31","3",,"255","267",,47,"10.5589/m05-011",2-s2.0-30644459071
"Puissant A., Rougiera S., Stumpf A.","7102002323;56105440400;37103096800;","Object-oriented mapping of urban trees using random forestclassifiers",2014,"International Journal of Applied Earth Observation and Geoinformation","26","1",,"235","245",,75,"10.1016/j.jag.2013.07.002",2-s2.0-84897879307
"Recio J.A., Hermosilla T., Ruiz L.A., Palomar J.","35332869100;24072952400;35222197000;55499653900;","Automated extraction of tree and plot-based parameters in citrus orchards from aerial images",2013,"Computers and Electronics in Agriculture","90",,,"24","34",,12,"10.1016/j.compag.2012.10.005",2-s2.0-84869864507
"Otsu Nobuyuki","35581258600;","THRESHOLD SELECTION METHOD FROM GRAY-LEVEL HISTOGRAMS.",1979,"IEEE Trans Syst Man Cybern","SMC-9","1",,"62","66",,19469,,2-s2.0-0018306059
"Ozcan A.H., Sayar Y., Hisar D., Unsalan C.","",[No title available],2015,"Multiscale Tree Analysis from Satellite Images, 2015 7Th International Conference on Recent Advances in Space Technologies (RAST)",,,,"","",,1,,2-s2.0-85049906849
"Schmitt M., Shahzad M., Zhu X.X.","7401931279;57196553643;55696622200;","Reconstruction of individual trees from multi-aspect TomoSAR data",2015,"Remote Sensing of Environment","165",,,"175","185",,20,"10.1016/j.rse.2015.05.012",2-s2.0-84929581418
"Shufelt J.","35619216900;","Performance evaluation and analysis of monocular building extraction from aerial imagery",1999,"IEEE Transactions on Pattern Analysis and Machine Intelligence","21","4",,"311","326",,138,"10.1109/34.761262",2-s2.0-0032630347
"Suhardiman A., Tsuyuki S., Setiawan Y.","","Estimating mean tree crown diameter of mangrove stands using aerial photo",2016,"Procedia Environ Sci","33",,,"416","427",,1,,2-s2.0-85049896669
"Sun H., Ding Y., Huang Y., Wang G.","25634941100;55472109900;57193115806;56049503500;","Critical assessment of object segmentation in aerial image using Geo-Hausdorff Distance",2016,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","41",,,"187","194",,1,"10.5194/isprsarchives-XLI-B4-187-2016",2-s2.0-84978052597
"Wang L., Gong P., Biging G.S.","57203825366;7102704109;6701790782;","Individual tree-crown delineation and treetop detection in high-spatial-resolution aerial imagery",2004,"Photogrammetric Engineering and Remote Sensing","70","3",,"351","357",,189,"10.14358/PERS.70.3.351",2-s2.0-21244504049
"Wang Y.","55472296300;","Automatic extraction of building outline from high resolution aerial imagery",2016,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives","41",,,"419","423",,2,"10.5194/isprsarchives-XLI-B3-419-2016",2-s2.0-84978083172
"Zou K.H., O'Malley A.J., Mauri L.","7006828339;55666477900;7005920025;","Receiver-operating characteristic analysis for evaluating diagnostic tests and predictive models",2007,"Circulation","115","5",,"654","657",,556,"10.1161/CIRCULATIONAHA.105.594929",2-s2.0-33846894344
"Zweig M.H., Campbell G.","35513753900;7401889490;","Receiver-operating characteristic (ROC) plots: A fundamental evaluation tool in clinical medicine",1993,"Clinical Chemistry","39","4",,"561","577",,4494,,2-s2.0-0027457620
