Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Agrawal A., Catalini C., Goldfarb A.","","Friends, family, and the flat world: The geography of crowdfunding",2011,"Friends, Family, and the Flat World: The Geography of Crowdfunding",,,,"1","61",,33,,2-s2.0-84892521262
"Allison T.H., Davis B.C., Short J.C., Webb J.W.","55599848400;56124128100;7202306004;8842410100;","Crowdfunding in a prosocial microlending environment: Examining the role of intrinsic versus extrinsic cues",2015,"Entrepreneurship: Theory and Practice","39","1",,"53","73",,140,"10.1111/etap.12108",2-s2.0-84899039668
"Armendáriz de Aghion B., Morduch J.","",[No title available],2005,"The Economics of Microfinance",,,,"","",,1015,,2-s2.0-10244246384
"Armendáriz de Aghion B., Morduch J.","",[No title available],2005,"The Economics of Microfinance",,,,"","",,1015,,2-s2.0-10244246384
"Autio E., Kenney M., Mustar P., Siegel D., Wright M.","57203627370;7102990407;6603340862;7202706325;7401558861;","Entrepreneurial innovation: The importance of context",2014,"Research Policy","43","7",,"1097","1108",,256,"10.1016/j.respol.2014.01.015",2-s2.0-84902551388
"Breedon T.","","Boosting Finance Options for Business: Report of industry-led working group on alternative debt markets, March 2012 chaired by Tim Breedon",2012,"Boosting Finance Options for Business",,,,"","",,28,,2-s2.0-84880284614
"Bruton G.","6603867202;","Business and the worlds poorest billion the need for an expanded examination by management scholars",2010,"Academy of Management Perspectives","24","3",,"6","10",,61,"10.5465/AMP.2010.52842947",2-s2.0-77955679662
"Bruton G.D., Duane Ireland R., Ketchen Jr. D.J.","6603867202;15622965800;7003588673;","Toward a research agenda on the informal economy",2012,"Academy of Management Perspectives","26","3",,"1","11",,57,"10.5465/amp.2012.0079",2-s2.0-84877618837
"Bruton G.D., Khavul S., Chavez H.","6603867202;13006745800;40461043200;","Microlending in emerging economies: Building a new line of inquiry from the ground up",2011,"Journal of International Business Studies","42","5",,"718","739",,94,"10.1057/jibs.2010.58",2-s2.0-79959236385
"Chakravarty S., Shahriar A.","","Selection of borrowing partners in joint liability-based microcredit: Evidence from framed field experiments in Bangladesh",2015,"Entrepreneurship Theory and Practice","39","1",,"129","144",,13,,2-s2.0-84978730896
"Cholakova M., Clarysse B.","","Does the possibility to make equity investments in crowdfunding projects crowd out reward-based investments?",2015,"Entrepreneurship Theory and Practice","39","1",,"145","172",,125,,2-s2.0-84934283953
"Clarysse B., Wright M., Van Hove J.","",[No title available],2015,"A Look Inside Accelerators",,,,"","",,16,,2-s2.0-84944277313
"Colombo M.G., Franzoni C., Rossi-Lamastra C.","7203013774;15755284200;57197758938;","Internal social capital and the attraction of early contributions in crowdfunding",2015,"Entrepreneurship: Theory and Practice","39","1",,"75","100",,238,"10.1111/etap.12118",2-s2.0-84905784948
"Cosh A., Cumming D., Hughes A.","9272460700;54790580000;9272460900;","Outside enterpreneurial capital",2009,"Economic Journal","119","540",,"1494","1533",,171,"10.1111/j.1468-0297.2009.02270.x",2-s2.0-70149098719
"De Castro J.O., Khavul S., Bruton G.D.","15729464100;13006745800;6603867202;","Shades of grey: How do informal firms navigate between macro and meso institutional environments?",2014,"Strategic Entrepreneurship Journal","8","1",,"75","94",,72,"10.1002/sej.1172",2-s2.0-84897656973
"Duarte J., Siegel S., Young L.","7102883064;16305430100;23037640900;","Trust and credit: The role of appearance in peer-to-peer lending",2012,"Review of Financial Studies","25","8",,"2455","2483",,182,"10.1093/rfs/hhs071",2-s2.0-84864484014
"Duvendack M., Palmer-Jones R., Copestake J.G., Hooper L., Loke Y., Rao N.","",[No title available],2011,"What is the evidence of the impact of microfinance on the well-being of poor people?",,,,"","",,146,,2-s2.0-84866336026
"Enterprise Research Centre","","Survey of Business Angels: Interim Report",2014,"Survey of Business Angels: Interim Report",,,,"","",,4,,2-s2.0-84962239312
[No author name available],[No author id available],[No title available],2014,"The FCA’s regulatory approach to crowdfunding over the internet, and the promotion of non-readily realisable securities by other media – Feedback back to CP13/3 and final rules",,,,"","",,3,,2-s2.0-84921397182
"Fraser S., Bhaumik S., Wright M.","","What do we know about entrepreneurial finance and its relationship with growth?",2014,"To Appear in International Small Business Journal",,,,"","",,1,,2-s2.0-85014073765
"Freedman M.P.","","Challenges to launching grassroots microlending programs: A case study",2000,"Journal of Developmental Entrepreneurship","5","3",,"235","248",,2,,2-s2.0-85014104668
"Gedajlovic E., Honig B., Moore C.B., Payne G.T., Wright M.","6602398805;56248556200;15822236900;55666762200;7401558861;","Social Capital and Entrepreneurship: A Schema and Research Agenda",2013,"Entrepreneurship: Theory and Practice","37","3",,"455","478",,167,"10.1111/etap.12042",2-s2.0-84876437426
"Harrison R.","7403907223;","Crowdfunding and the revitalisation of the early stage risk capital market: catalyst or chimera?",2013,"Venture Capital","15","4",,"283","287",,66,"10.1080/13691066.2013.852331",2-s2.0-84887965719
"Hoskisson R.E., Wright M., Filatotchev I., Peng M.W.","6602700456;7401558861;7004501203;8588065300;","Emerging Multinationals from Mid-Range Economies: The Influence of Institutions and Factor Markets",2013,"Journal of Management Studies","50","7",,"1295","1321",,294,"10.1111/j.1467-6486.2012.01085.x",2-s2.0-84879811974
"Isenberg D.","",[No title available],2012,"The Road to Crowdfunding Hell",,,,"","",,3,,2-s2.0-85014089126
"Khavul S.","13006745800;","Microfinance: Creating opportunities for the poor?",2010,"Academy of Management Perspectives","24","3",,"58","72",,99,"10.5465/AMP.2010.52842951",2-s2.0-77955668629
"Khavul S., Bruton G.D.","13006745800;6603867202;","Harnessing Innovation for Change: Sustainability and Poverty in Developing Countries",2013,"Journal of Management Studies","50","2",,"285","306",,68,"10.1111/j.1467-6486.2012.01067.x",2-s2.0-84874239894
"Khavul S., Bruton G.D., Wood E.","13006745800;6603867202;35499662800;","Informal family business in Africa",2009,"Entrepreneurship: Theory and Practice","33","6",,"1219","1238",,152,"10.1111/j.1540-6520.2009.00342.x",2-s2.0-70649100291
"Khavul S., Chavez H., Bruton G.D.","13006745800;40461043200;6603867202;","When institutional change outruns the change agent: The contested terrain of entrepreneurial microfinance for those in poverty",2013,"Journal of Business Venturing","28","1",,"30","50",,68,"10.1016/j.jbusvent.2012.02.005",2-s2.0-84869145278
[No author name available],[No author id available],[No title available],2014,"About Kiva",,,,"","",,1,,2-s2.0-85014097158
"Leyden D.P., Link A.N., Siegel D.S.","7003533877;7102462304;7202706325;","A theoretical analysis of the role of social networks in entrepreneurship",2014,"Research Policy","43","7",,"1157","1163",,50,"10.1016/j.respol.2014.04.010",2-s2.0-84902540434
"Manigart S., Wright M.","6507729096;7401558861;","Venture capital investors and portfolio firms",2013,"Foundations and Trends in Entrepreneurship","9","4-5",,"365","370",,21,"10.1561/0300000040",2-s2.0-84878853375
"Miesing P., Watts B., Siegel D.S., Briar-Lawson K.","","Lessons on microenterprise development from a university-based microlending development program",2014,"Oxford Handbook of Local Competitiveness",,,,"","",,1,,2-s2.0-85014084550
"Miller P., Bound K.","","The startup factories: The rise of accelerator programmes to support new technology ventures (SF/72)",2011,"The Startup Factories: The Rise of Accelerator Programmes to Support New Technology Ventures",,,,"","",,63,,2-s2.0-84882009650
"Moenninghoff S.C., Wieandt A.","",[No title available],2019,"The Future of Peer-To-Peer Finance",,,,"","",,2,,2-s2.0-85014064913
"Mollick E.","8683215400;","The dynamics of crowdfunding: An exploratory study",2014,"Journal of Business Venturing","29","1",,"1","16",,908,"10.1016/j.jbusvent.2013.06.005",2-s2.0-84887164772
"Mollick E.R., Kuppuswamy V.","","After the Campaign: Outcomes of Crowdfunding",2014,"After the Campaign: Outcomes of Crowdfunding",,,,"","",,55,,2-s2.0-84960206335
"Moss T., Neubaum D., Meyskens M.","","The effect of virtuous and entrepreneurial orientations on microfinance lending and repayment: A signaling theory perspective",2014,"Entrepreneurship Theory & Practice","39","1",,"27","52",,106,,2-s2.0-84973354776
"Pierrakis Y., Collins L.","",[No title available],2013,"Banking on Each Other, Peer-To-Peer Lending to Business: Evidence from Funding Circle",,,,"","",,9,,2-s2.0-84981221914
"Reille X., Glisovic-Mezieres J.","",[No title available],2009,"Microfinance Funds Continue to Grow Despite the Crisis",,,,"","",,9,,2-s2.0-84862083067
"Roodman D.","6603177100;","Armageddon or adolescence? Making sense of microfinance's recent travails",2013,"Microfinance 3.0: Reconciling Sustainability with Social Outreach and Responsible Delivery",,,,"13","40",,5,"10.1007/978-3-642-41704-7_2",2-s2.0-84930588937
"Belleflamme P., Lambert T., Schwienbacher A.","6603558683;55862822200;11839780000;","Crowdfunding: Tapping the right crowd",2014,"Journal of Business Venturing","29","5",,"585","609",,567,"10.1016/j.jbusvent.2013.07.003",2-s2.0-84903472784
"Sun S.L., Im J.","","Cutting microfinance interest rates: An opportunity co-creation perspective",2015,"Entrepreneurship Theory and Practice","39","1",,"101","128",,26,,2-s2.0-85055582849
"Tarozzi A., Desai J., Johnson K.","",[No title available],2014,"The Impacts of Microcredit: Evidence from Ethiopia",,,,"","",,1,,2-s2.0-85014087748
"Vanacker T.R., Manigart S.","13205591800;6507729096;","Pecking order and debt capacity considerations for high-growth companies seeking financing",2010,"Small Business Economics","35","1",,"53","69",,67,"10.1007/s11187-008-9150-x",2-s2.0-77954030689
"Wahid F., Rehman Z.","","Share of the informal loans in total borrowing in Pakistan: A case study of District Peshawar",2014,"Journal of Managerial Sciences","8",,,"103","111",,1,,2-s2.0-85014083811
"Westhead P., Wright M.","",[No title available],2013,"Entrepreneurship: A Very Short Introduction",,,,"","",,12,,2-s2.0-84902547503
[No author name available],[No author id available],[No title available],2013,"Crowdfunding’s Potential for the Developing World",,,,"","",,24,,2-s2.0-84947018091
"Xusheng Y.","","Inside China: Reining in P2P lending",2014,"International Financial Law Review","33","6",,"224","",,2,,2-s2.0-85014116780
"Zahra S.A., Wright M.","7003264340;7401558861;","Entrepreneurship's next act",2011,"Academy of Management Perspectives","25","4",,"67","83",,285,"10.5465/amp.2010.0149",2-s2.0-84856155811
